window,track,title,platform,author,identity_confidence,evidence_urls,channel_raw,coarse_genre,official_blurb,reader_synopsis,trope_tags,one_liner,name_conflict,not_found,corpus_folder_ptr,ledger_kind,origin,authority,source_report,ingested_at
w01,ST-001,一人之下：吾名秽元真君！,起点中文网,老登我鬼火好看吧,高,证据：起点书页、章节推荐页。,,页面频道原文“轻小说”“衍生同人”｜我归纳：依附《一人之下》IP 的国漫同人修道文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,衍生同人｜频道明写“衍生同人”，标题直接挂《一人之下》｜高；IP 依附《一人之下》｜题名已给出依附 IP｜高；胎穿或早期开挂｜官方文案写“于娘胎之中得炁”｜高；道法异人流｜文案里直接出现“全真大道”“法天象地”｜高。,把《一人之下》的异人体系，往更凶更玄的真君路线猛推。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,一剑擎天,番茄小说,谁人君识不,中,证据：番茄作品页。 目前只核到番茄对应书页，书名本身又偏通用，所以保守给中。,,页面频道原文“奇幻仙侠”“玄幻”“空间”“剑道”“架空”｜我归纳：剑道主驱动的架空仙侠。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,剑修｜官方标签直接有“剑道”｜高；空间流｜官方标签直接有“空间”｜高；架空仙侠｜官方标签直接有“架空”“奇幻仙侠”｜高；热血升级｜简介是“若世间没仙，我便成仙”这种直冲天花板路线｜中。,设定不兜圈子，主打就是一把剑往上捅到天。,书名很通用，检索中出现大量“章节名/宣传语式一剑擎天”，当前锁定到的官方候选只有番茄这一部，仍建议人工再认一次。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,一卦断生死，全网跪求我开播,没找到。检索过“书名+起点/QQ阅读/番茄/page/作者”；目前只在番茄相关帖子页和多个聚合页看到“尔东不凡”这组线索，未找到可直接核验的原发书页。,,,没找到。检索过“书名+起点/QQ阅读/番茄/page/作者”；目前只在番茄相关帖子页和多个聚合页看到“尔东不凡”这组线索，未找到可直接核验的原发书页。,,可见简介线索集中在“玄学主播、直播连麦打假、警方挖出白骨”｜我归纳：直播玄学+灵异断案爽文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,直播算命｜多处线索都写主角是玄学主播开播算命｜中；连麦打假｜线索页都提到女明星连麦打假｜中；灵异断案｜剧情线索直连“白骨案”“警方通报”｜中；系统流｜番茄帖子提到“后面有系统是真天师”｜低。,从十几个人的直播间起步，一卦下去直接把热搜和案子一起炸开。,原发页缺失，且当前主证据不够硬，**需人工认亲**。,Y,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,一品嫡女,QQ阅读,白苏,中,证据：QQ阅读书页、起点问答页。 能确认官方电子阅读页和作者名，但首发历史站点没有完全坐实。,,页面频道原文“古代言情”｜我归纳：标准重生嫡女复仇文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,重生｜章节名直接出现“嗜血重生”｜高；宅斗复仇｜简介写庶妹、渣男、冷宫、人彘等典型宅斗复仇桥段｜高；嫡女流｜题名直接写“嫡女”｜高。,把古言爽点里最狠的一档家门血仇，开局就拉满。,未见更强的另一官方候选，但因首发站点未完全锁定，保留人工复核空间。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,一念永恒,起点中文网,耳根,中,证据：起点官方推荐页、阅文作者访谈。 当前能明确核到起点官方页与作者、题材，但未直接抓到常规书页，因此给中。,,页面频道原文“幻想修仙”｜我归纳：偏轻松、长生执念很强的修仙文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,古典修仙｜官方检索页直接给出“古典修仙”｜高；长生流｜官方检索页直接写“长生”｜高；轻松流｜官方检索页直接写“轻松”｜高。,耳根把求长生这件事，写得又燃又贱又很好追。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,万世之名,起点中文网,古羲,高,证据：起点书页、QQ阅读页。,,页面频道原文“玄幻小说”｜我归纳：乱世背景下的成长成名玄幻。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,求名流｜官方简介直接写“乱世求生，盛世求名”｜高；乱世成长流｜文案把大禹朝的历史震荡当底色｜高；长线升级｜玄幻频道+大长篇体量，很明显是持续成长线｜中。,不是求活而已，而是要在乱世里把自己的名字刻下来。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,万古神帝,起点中文网,飞天鱼,高,证据：起点书页、起点移动版权页。,,页面频道原文“玄幻小说”“东方玄幻”｜我归纳：神帝重修、直冲复仇的东方玄幻大长篇。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,重生重修｜文案名句是“待我重修十三年”｜高；复仇流｜目标直指池瑶女皇｜高；东方玄幻｜页面频道直接写明｜高。,一句“待我重修十三年”，把复仇爽文最硬的火药味打满。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,万族之劫,起点中文网,老鹰吃小鸡,高,证据：起点书页、作者页。,,页面频道原文“都市小说”；起点活动页写“万族争锋，人族崛起”｜我归纳：高武底色的万族争霸文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,万族争霸流｜活动页直接写“万族争锋”｜高；人族崛起｜活动页直接写“人族崛起”｜高；学院或学府流｜目录早期就有“四大学府体系”｜中；高武流｜虽然页面归在都市，但系统词和设定都明显是高武升级赛道｜中。,把“人族翻盘”写成超长线的大型拔河，读感特别顶。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,万灵仙族,起点中文网,青靖石1,中,证据：作者页当前作品关联《万灵仙族》、QQ阅读页明确写“本书又名《万灵仙族》”。,,页面频道原文“仙侠”“修真文明”｜我归纳：家族修仙+御兽发育的长篇凡人流。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,家族修仙｜官方标签直接写“家族修仙”｜高；凡人流｜官方标签直接写“凡人流”｜高；御兽｜官方标签直接写“御兽”｜高；种田发育｜官方标签里有“慢节奏种田发育”｜高；家族金手指｜官方标签直接写“家族金手指”｜高。,不是一个人冲天，而是一整个仙族边种田边御兽慢慢垒高。,当前最强候选其实是正式长标题《御兽仙族：我御万灵证长生》，《万灵仙族》更像别名或简称，**需人工认亲**。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,万生痴魔,起点中文网,沙拉古斯,高,证据：起点书页、目录页。,,页面频道原文“玄幻小说”“东方玄幻”｜我归纳：带民俗手艺和行当体系的东方玄幻。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,行当修行流｜文案写“万生有行三百六”｜高；手艺流｜文案直接写“种出一身好手艺”｜高；东方民俗流｜作者访谈明确提到把东方民俗、各行各业和修行体系结合起来｜高；群像倾向｜“群雄割据、五大帅四大魔王”等书评反馈说明不是纯单线小副本｜中。,最有味道的点，不是升级数值，而是把“手艺”直接写成修行大道。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,万界天尊,起点中文网,血红,高,证据：起点书页、起点移动版权页。,,页面频道原文“玄幻小说”“东方玄幻”｜我归纳：大体量、多世界格局的传统玄幻。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,万界流｜题名直接写“万界”｜高；东方玄幻｜频道直给｜高；长线升级流｜三百多万字体量、传统玄幻叙事很明显｜中。,血红擅长的就是把大世界、大人物和大冲突一口气压满。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,万相之王,起点中文网,天蚕土豆,高,证据：起点书页、起点搜索页。,,页面频道原文“玄幻小说”｜我归纳：围绕“相”体系展开的王道成长玄幻。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,相力体系流｜官方文案核心句就是“天地间，有万相”｜高；王道成长流｜文案直接写“终将成为这万相之王”｜高；长篇升级流｜天蚕土豆标准大长线玄幻写法｜中。,把“相”的设定做成一整套王道升级语法，很适合一路追。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,三国第一毒士，必须是我法正啊,起点中文网,雪豹导弹,高,证据：起点书页、起点目录聚合页。,,页面频道原文“历史小说”“秦汉三国”｜我归纳：法正主角视角的三国谋略文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,三国文｜频道直给秦汉三国｜高；法正主角流｜标题直接点名“必须是我法正啊”｜高；毒士流｜标题直接把“毒士”抬成核心标签｜高；智斗谋略流｜早期章节名有《答隆中对》、人口策论等｜高。,把法正这种高存在感配角，硬拉成台前最毒最狠的主角。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,三寸人间,起点中文网,耳根,高,证据：起点书页、起点搜书页。,,页面频道原文“仙侠小说”｜我归纳：带科幻感和星辰尺度的仙侠成长文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,科幻仙侠｜文案里同时有“举头三尺无神明”和“大宇宙感”的混搭气质｜中；成长流｜官方文案是少年一路往上走的大主线｜高；耳根式长线升级｜作品定位就是耳根第五部长篇｜高。,把修仙往星空里抬，但骨子里还是很典型的少年成长爽线。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,上玉阙,起点中文网,长安九千里,高,证据：起点书页、起点精编页。,,页面频道原文“仙侠小说”｜我归纳：偏凡人修仙气质、带点腹黑味的仙侠文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,凡人修仙｜起点有声页直接写“凡人修仙”｜高；腹黑仙侠｜起点有声页直接写“腹黑仙侠”｜高；长线修仙成长｜体量与题材都很标准｜中。,不是一口气飞天那种仙侠，更像一步步磨上去的修行局。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,下一站书店,起点中文网,蠢蠢小可乐,高,证据：起点书页、QQ来源页。,,页面频道原文“短篇小说”“短篇小说”｜我归纳：二手书店主题的治愈短篇。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,书店经营｜文案核心场景就是“二手小书店”｜高；治愈日常｜文案写“字里行间，都是美好”｜高；短篇群像倾向｜百章短篇体量很像围绕书店展开的人情故事串联｜中。,把书店写成情绪中转站，这种题一旦写顺就很容易让人心软。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,不是吧君子也防,起点中文网,阳小戎,高,证据：起点书页、起点在线阅读聚合页。,,页面频道原文“仙侠小说”“幻想修仙”｜我归纳：带朝堂关系戏的轻喜感仙侠。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,幻想修仙｜页面频道直给｜高；公主关系线｜官方简介从“大乾公主初遇君子”写起｜高；皇嗣之争｜官方简介直接写“皇嗣之争”｜高；伪君子反差流｜公主口中的“伪君子”就是典型反差切口｜高。,外面是君子皮，里面全是局，这种关系反差很抓人。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,不朽凡人,起点中文网,鹅是老五,高,证据：起点书页。,,页面频道原文“仙侠小说”｜我归纳：无灵根起步的经典凡人流修仙文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,凡人流｜官方文案直说“只有凡根，一介凡人”｜高；逆袭修仙｜文案从“凡根注定只是凡人”反打不朽之路｜高；长生向｜“不朽”本身就是目标导向｜高。,修仙最爽的点之一，就是从“根本不配修”一路打到“不朽”。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,不科学御兽,起点中文网,轻泉流响,高,证据：起点书页、QQ来源页。,,页面频道原文“玄幻小说”“异世大陆”｜我归纳：穿越+御兽+考古神话探索文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,穿越｜官方简介写“神话学者兼考古学家时宇穿越而来”｜高；御兽｜文案与频道都把御兽当核心｜高；考古流｜主角前身身份就是神话学者、考古学家｜高；神话探索｜文案写“探寻空白的历史与失落的神话”｜高。,御兽只是表层，好看的地方其实是拿考古脑子去拆神话谜团。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,不许没收我的人籍,起点中文网,可怜的夕夕,高,证据：起点书页、起点目录页。,,页面频道原文“轻小说”“原生幻想”｜我归纳：异世界政治喜剧味很重的原生幻想。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,原生幻想｜频道直给｜高；人魔关系线｜文案核心是“人类主教”和“魔族末裔公主”的过往｜高；反向养成或战犯流｜男主嘴上说绝无复国可能，结果数年后魔族复国成功，这就是很典型的反向扶持梗｜中；轻喜剧反差｜整段文案本身就是一本正经地搞笑｜高。,越想证明自己没问题，越像整场大事件的头号战犯。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,世子很凶,起点中文网,关关公子,高,证据：起点书页、作者页。,,页面频道原文“历史小说”｜我归纳：庙堂与江湖并行的架空历史文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,世子文｜标题就是“世子”｜高；质子入京流｜文案写“召各路藩王世子入京求学，实为质子”｜高；庙堂江湖双线｜文案明确同时写庙堂、江湖、市井｜高；藏拙反差流｜主角本该“藏拙自污”，结果一路被吹成大才｜高。,一个本想低调的世子，被局势逼着一路把牌翻给全天下看。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,世子稳重点,起点中文网,贼眉鼠眼,高,证据：起点书页、在线阅读页。,,页面频道原文“历史小说”｜我归纳：北宋背景的稳健朝堂历史文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,北宋历史文｜官方简介直接写“北宋绍圣元年”｜高；世子文｜主角是楚王世子赵孝骞｜高；稳健流｜标题直接写“稳重点”｜高；朝堂党争｜文案点明新旧两党斗到脑浆子都打出来｜高。,题目虽劝稳，但人一进北宋朝局，想稳本身就是戏。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,东京1991，从银行职员开始,起点中文网,今日手缚苍龙,高,证据：起点书页、QQ阅读页。,,页面频道原文“轻小说”“原生幻想”；QQ页归在“女现言”检索，但正文仍显示作品本体｜我归纳：重生平成初年东京的银行职场文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,重生东京｜官方简介直接写“重生东京平行时空后”｜高；年代日轻｜题名锁定 1991 年东京｜高；银行职场流｜标题与文案都强调银行员身份｜高；平行时空｜官方文案明确写“平行时空”｜高。,把日本泡沫余波下的银行系统，写成重开人生的第一张桌子。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,东京医途,起点中文网,睡醒了会饿,高,证据：起点书页、QQ阅读页。,,页面频道原文“轻小说”“原生幻想”；QQ页显示“轻小说原生幻想”｜我归纳：东京背景的重生医疗文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,重生东京｜简介直接写“重生平行时空的东京后”｜高；医疗职业文｜题名就是“医途”，且奖励里有外科技能、医学论文｜高；世界线奖励流｜文案写“看到女孩们的世界线，只要抉择行动就能获得对应奖励”｜高；修罗场倾向｜官方简介最后一句直接写“做好时间管理”｜高。,一边做医生，一边踩世界线做选择，职业线和关系线都很满。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,东京推理文豪,起点中文网,御绫御影,高,证据：起点书页、QQ阅读页。,,页面频道原文“轻小说”｜我归纳：穿到昭和末东京写推理、争文坛位置的文豪文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,穿越东京｜官方简介写“穿越至 1980 年的东京”｜高；推理文抄流｜标题直接写“推理文豪”，且主角身份就是推理作家｜高；文豪流｜标题直给｜高。,不是去东京破案，而是去东京抢推理文学的山头。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,东京：从租借男友开始当完美男神,起点中文网,圭寸笔,高,证据：起点书页、QQ阅读页。,,页面频道原文“轻小说”｜我归纳：东京恋爱日常路线的男神养成文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,租借男友｜题名与第一章名都直接写“租借男友”｜高；恋爱日常｜官方检索页归为“恋爱日常”｜高；男神养成｜标题直接写“当完美男神”｜高；多角关系｜目录里直接出现“多角关系”｜高；技能成长｜目录里有“LV2 级乔装”“街头格斗术”等成长痕迹｜中。,从一场租借交易开局，把“人设运营”做成恋爱修罗场。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,东京：崇华的我竟成了日娱之王,起点中文网,96捞鱼费舍尔,高,证据：起点书页、QQ阅读页。,,页面频道原文“轻小说”｜我归纳：东京背景的日娱圈闯荡文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,穿越东京｜官方简介直接写“穿越东京”｜高；日娱文｜标题直接写“日娱之王”｜高；平成末背景｜官方简介点明“平成末年”｜高；偶像业界流｜目录里全是杰尼斯、长野博、Vaundy 等业界元素｜高；闯中策略流｜官方简介直接写“闯中小计划”｜高。,一边吐槽日娱，一边往里冲，整活感和行业感都够强。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,东皇紫籍,起点中文网,一炁化三清,高,证据：起点书页、起点搜书页。,,页面频道原文“仙侠小说”｜我归纳：洞天福地、仙阶神道味都很重的传统仙侠。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,神道仙侠｜“东皇”“紫籍”“至尊至上之神”这些关键词都偏神道仙阶语汇｜中；洞天福地流｜官方文案直接写“群仙居于洞天福地仙岛”｜高；长线修仙成长｜标准起点仙侠长篇写法｜中。,仙气不是冷的，是那种带上古神谱味的厚重仙气。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
w01,ST-001,两界仙族从种田炼丹开始,起点中文网,成盟,高,证据：起点书页、QQ阅读页。,,页面频道原文“仙侠小说”｜我归纳：两界穿梭框架下的家族修仙经营文。,,【旧窗缺字段】w01 为标签汤模具，读者可读梗概未采；逛库时勿当正式简介。,两界流｜标题直接写“两界”｜高；家族修仙｜标题直接写“仙族”｜高；种田流｜标题与官方简介都把“主种田”拎得很前｜高；炼丹流｜标题直接写“炼丹”｜高。,不是单人闯关，而是带着家族在两头世界里一起滚资源。,未见明显同名冲突。,,,survey_not_ledger,deep_research,non_authoritative,w01_trial50.md,2026-07-19T09:35:51+08:00
