title,verdict,verdict_confidence,platform,author,old_clue,reader_synopsis,official_blurb,trope_tags,identity_note,source_report,ingested_at
凌霄仙族,钉死,中,起点体系,迷糊小神通,需认亲,这本是很典型的家族修仙、灵植夫、种田流。主角凌鹏云不是孤狼天才，而是带着家族势力往上爬，目标是把凌氏仙族推成“天下粮仓”级别。它和《从炼气家族到凌霄仙族》不是同一本，后者是落月星尘的新书，题名更长、主角也不同。,`“凌鹏云携带一卷道经，转生化为凌氏仙族族人……”`（节录）,家族修仙、灵植夫、凡人流、种田流,这本需要“认亲”，主要是因为现在公开面同时存在《从炼气家族到凌霄仙族》，很容易被误并。好在“迷糊小神通+凌霄仙族+凌鹏云”这一套是稳定的，和落月星尘那本《从炼气家族到凌霄仙族》的“陈玉青”线完全不同。虽然我没抓到可直开的官方原发页，但多家索引都指向同一部书，所以我判为钉死，只是不把把握给到最高。,identity_r01.md,2026-07-19T05:21:16+08:00
嘉豪就变强？操场雨中舞剑开天门,钉死,中,起点中文网,给我一个大汉堡,置信低,这本走的是短平快异能爽文线：主角陆幸穿到平行世界，觉醒“嘉豪成神系统”，从看似离谱的任务——比如雨中操场舞剑——一路刷到真正怪物降临，再一剑开天。它的卖点就是土味名配极强爽点，明显是当下快节奏新书风格。,`“血月当空，深渊降临。”`（节录）,都市异能、系统流、校园开局、爽文、短平快新书,这本最大的坑不是“找不到”，而是**同一题名在不同侧镜像上给了不同作者**。我更信起点官方，因为它直接给出作者“给我一个大汉堡”和更新时间；QQ 侧那条“创世中文网/大大大大大大怪/待上架”更像未清洗干净的聚合镜像。另一个细节是，官方用的是逗号版题名，不是问号版。综合看，这本能钉死，但最好补人工留档，备注“题名标点与镜像作者曾冲突”。,identity_r01.md,2026-07-19T05:21:16+08:00
嘿，妖道,钉死,高,起点中文网,我是瞎混的,缺官方简介;置信低;需认亲,这本其实是**改名认亲**。旧名“嘿，妖道”后来改成了《龙虎道主》。世界观是“百类皆可成妖，人族借妖修仙”，主角走的不是传统挂机，而是借妖道、神魂道去啃长生与道统。因为改名后新书名声量更大，所以旧标题才会显得像消失了。,`“天地有灵机，万物食灵机而长。”`（节录）,改名书、道门修仙、借妖修仙、长篇仙侠,这本跟《仙子，请听我解释》一样，核心不是找书，而是**旧名找新名**。QQ 阅读评论区直接有人说“嘿，妖道没了，成龙虎道主了”，这条证据很关键。再结合《龙虎道主》的官方页与作者名“我是瞎混的”，链条就闭环了。旧名可以留存为别名，但正式归档应落到《龙虎道主》。,identity_r01.md,2026-07-19T05:21:16+08:00
觉醒神通后，妖魔皆薪柴,钉死,高,起点中文网,派大康,置信中低;需认亲,这条待核书名其实不是正式题名，而是**官方简介里的主打口号**。真正的书叫《荡尽妖魔我为仙》，主角韩玥借《万法辑录》抽神通，一路在修仙世界拿神通和妖魔对撞，典型的高概念爽文。搜索旧条目时如果只盯字面，很容易误以为另有一本同名新书。,`“觉醒神通后，妖魔皆薪柴！”`（节录）,别称/口号误作书名、神通流、幻想修仙、斩妖成长,这本非常典型：**简介金句被误抄成书名**。官方页明明写的是《荡尽妖魔我为仙》，但简介末尾用一句“觉醒神通后，妖魔皆薪柴！”做钩子。待核名单把它抄成题名后，普通搜索自然会漂。现在已经能明确：它不是独立新书，而是《荡尽妖魔我为仙》的简介句。,identity_r01.md,2026-07-19T05:21:16+08:00
王者之开局加入长城守卫军,钉死,高,创世中文网,南元北哲,没找到;缺官方简介,主角陆羽打王者排位时穿进王者大陆，开局就入长城守卫军，同时绑定“王者进化系统”。后面路线很明确：装备、英雄技能、系统升级、攻略花木兰等王者世界名角色。属于把 MOBA 数值体系小说化的衍生同人，受众也很垂直。,`“正在打排位的陆羽，意外地穿越到了王者大陆……”`（节录）,王者荣耀同人、衍生同人、系统流、长城守卫军,这本其实不难认，只是容易和一堆王者题材同人混在一起。QQ 阅读页已经给出作者南元北哲、题材“衍生同人”、全文状态和完整开篇。起点与 QQ 两边都能搜到，链路稳得很。待核时标成“没找到”，更像是当时搜法没压住题材噪音。,identity_r01.md,2026-07-19T05:21:16+08:00
穿越网王之网球公主,钉死,中,QQ 阅读收录,花樱明月,缺官方简介;置信中低,这本是老网王同人路线，主角“扇”本身是现实世界的网球冠军，却极度厌恶网球，之后穿进《网球王子》相关世界，与龙马、迹部等人物展开交集。整体气质是早年女性向同人文：玛丽苏感、身份设定、王子群像和恋爱线都比较重。,公开面未抓到可靠官方简介长文本；可确认作者页与书名稳定对应。,网王同人、女性向、校园恋爱、穿越同人,这本书年代比较早，公开面很难再抓到漂亮的官方正文页，但作者页“花樱明月”名下明确挂着《穿越网王之网球公主》。同时，百科类页面和各类旧索引中的作者、题名、题材都一致。它不是噪声，也不是后人拼接出来的假名。唯一不足是**原发平台痕迹老旧**，所以把握我给中。,identity_r01.md,2026-07-19T05:21:16+08:00
中华联邦之帝国再起,钉死,中,起点中文网,铁骑洪流,缺官方简介;置信中低;需认亲,这是偏《鲁路修》中华联邦背景再创作的同人/架空争霸文。作者显然对原作里的中华联邦设定有怨念，于是开文重写，主打“千年帝国、阉人误国、华夏崛起、全球称霸”这套展开。书很早，更新也停得早，所以今天看起来像“失踪书”，但并不是没有身份。,`“千年帝国，岂容阉人败坏。”`（节录）,鲁路修同人、架空争霸、旧同人文、起点系,这本也属于“老书难挖”。好在 BookLink 直接挂了“起点目录”，另一个索引页更明确写了**作者铁骑洪流、首发网站起点**。题名很长但不常撞，作者也稳定，所以认亲难度主要在资料老，不在真假不明。可以钉死，但要备注“老同人遗留，官方现页不易直达”。,identity_r01.md,2026-07-19T05:21:16+08:00
清穿之妾室守则,钉死,高,起点中文网,随风轻舞,置信中低;需认亲,书名虽然像很普通的清穿言情，但身份很稳。故事大体围绕清穿后宅、妾室生存、九爷系人物关系展开，重点不是朝堂，而是女主如何在妾室位置上活下来、守住边界、经营后宅。它是典型女性向长篇，篇幅很长，连载完结痕迹也完整。,`“有人说太美丽的女人都是笨蛋……”`（节录）,清穿、古代言情、后宅生存、长篇女频,这本不存在真伪问题，只是年头有点久。起点书页直接给出作者、章数和简短简介，微信读书也能对应到同书同作者。由于“清穿”“妾室”两个词都很高频，裸搜会有干扰，但完整题名一上去，基本就不会跑。可以放心钉死。,identity_r01.md,2026-07-19T05:21:16+08:00
傻柱重生四合院：从敲闷棍开始,判死,高,无,,缺官方简介;置信低;需认亲,不写梗概。原因是目前公开面没有找到能稳定落到这条**完整题名**的原发书页，只搜到一串“傻柱重生/四合院/从某某开始”的相近作品。,空,空,这条最像是**把多个常见四合院题名模板拼到了一起**。我能搜到《四合院这个傻柱不一样》《四合院：重生傻柱，五一开局》《四合院从傻柱身死开始》等一堆近似项，但没有一条能落到“从敲闷棍开始”这个完整名。既然原发不存在、近似项又太多，就不能硬认到别的傻柱文上。这里我倾向直接判死，避免错绑。,identity_r01.md,2026-07-19T05:21:16+08:00
公安局长之扫黑风暴,判死,高,无,,缺官方简介;置信低,不写梗概。原因是公开面几乎只剩匿名小说聚合站清一色挂“佚名”，没有任何能钉住原发平台、作者名、稳定章节链的证据。,空,空,这条不像正常在连载的网文条目，更像近期匿名站批量投放时生成的题名。所有能搜到的结果都长一个样：无作者，写“佚名”，站点又都是低质量聚合。没有起点、番茄、七猫、掌阅、17K、纵横、酷匠这类可落源头的平台痕迹。按你的规则，这种就该直接判死，而不是往高置信上硬凑。,identity_r01.md,2026-07-19T05:21:16+08:00
刚成老祖逼我赴死，我道果归一了,仍存疑,低,疑似 大白云的梦,原发平台未钉死,缺官方简介;置信低;需认亲,从现有公开索引看，这书卖点很明白：老祖开局、寿元将尽、宗门和家族逼其赴死，主角靠“诸我道果”在诸天平因果、回收修为寿元。属于“老祖流+诸天流+无女主+杀伐果断”那一型。设定是能立住的，但问题不在故事，而在**源头没钉住**。,`“穿越成寿元枯竭的金丹老祖……”`（节录，非原发页）,诸天流、老祖流、道果归一、无女主（低置信）,我能摸到一本“像真的”书，但现在还没法把“平台｜作者”这条锁死。TWKAN 给出作者“大白云的梦”和完整简介，说明不是纯空壳题名；但我没找到能直接证明其原发平台的官方书页。再加上 YouTube 侧大量口播搬运会放大假象，所以这里不能硬写高置信。最稳的做法是：**保留为存疑，待人工二次上平台搜原发**。,identity_r01.md,2026-07-19T05:21:16+08:00
重生空间八零,仍存疑,中,疑似《重生空间八零小媳妇》,QQ 阅读/起点体系,置信中低,如果把它按疑似对象来读，最像的是《重生空间八零小媳妇》：现代女性车祸后重生回八零年代，带着空间和身孕开局，后续走年代、家庭、养娃、感情与种田升级线。问题是你给我的条目只写到“重生空间八零”，这在公开面不足以唯一定位。,空,年代文、空间、重生、八零（低到中置信）,这条最大的问题就是**标题被截断**。公开面一搜“重生空间八零”，最强命中确实是《重生空间八零小媳妇》，但同时又存在《重生空间：八零小甜妻》《重生空间八零小悍妻》《重生空间八零俏佳人》等一批高度相似书名。也就是说，我能给出“疑似对象”，但还不能说“百分百就是它”。按你的规则，这种就该压成存疑，不该硬钉。,identity_r01.md,2026-07-19T05:21:16+08:00
重生之星际影,判死,中,无,,没找到;缺官方简介,不写梗概。原因是公开面搜不到能落在《重生之星际影》这个**完整题名**上的稳定书目，只能搜到《重生之星际影后归来》等更长、更完整的近似标题。,空,空,这条和《重生空间八零》有点像，但比它更虚。因为“重生之星际影”甚至没形成一个稳定的疑似对象，只能看到“重生之星际影后归来”这类更完整书名被动补全。没有作者名，没有平台名，也没有一个书页把这五个字当正式题名挂出来。我倾向把它当成**截断题名噪声**，直接判死更稳。,identity_r01.md,2026-07-19T05:21:16+08:00
