书名,章号,原表文件,切片数据行号,辅助表类型,辅助表原编号,对象类_仅章末表,审阅对象,结论,一句理由,关联主表审阅行键,关联主表候选结论,审阅身份
炼气士不死于无限,15,lianqishi/02_章末零条.csv,26,章末零条,,物品账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是物品账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/02_章末零条.csv,27,章末零条,,势力账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是势力账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/02_章末零条.csv,28,章末零条,,体系／世界规则账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是体系／世界规则账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/02_章末零条.csv,29,章末零条,,知情边,辅助记录是否作为新增卡片条目,drop_not_for_card,这是知情边的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/02_章末零条.csv,30,章末零条,,A-lite,辅助记录是否作为新增卡片条目,drop_not_for_card,这是A-lite的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/02_章末零条.csv,31,章末零条,,规划账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是规划账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/02_章末零条.csv,32,章末零条,,长线账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是长线账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/02_章末零条.csv,33,章末零条,,协作层,辅助记录是否作为新增卡片条目,drop_not_for_card,这是协作层的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/03_抉择句.csv,2,抉择句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0443的选择分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0443,drop_not_for_card,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/03_抉择句.csv,3,抉择句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0463的选择分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0463,keep_as_fact,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/03_抉择句.csv,4,抉择句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0473的选择分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0473,keep_as_fact,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/04_因果句.csv,1,因果句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0470的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0470,keep_as_fact,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/04_因果句.csv,2,因果句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0474的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0474,keep_as_fact,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/02_章末零条.csv,34,章末零条,,事实账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是事实账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/02_章末零条.csv,35,章末零条,,人物账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是人物账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/02_章末零条.csv,36,章末零条,,地点账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是地点账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/02_章末零条.csv,37,章末零条,,物品账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是物品账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/02_章末零条.csv,38,章末零条,,势力账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是势力账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/02_章末零条.csv,39,章末零条,,体系／世界规则账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是体系／世界规则账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/02_章末零条.csv,40,章末零条,,知情边,辅助记录是否作为新增卡片条目,drop_not_for_card,这是知情边的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/02_章末零条.csv,41,章末零条,,A-lite,辅助记录是否作为新增卡片条目,drop_not_for_card,这是A-lite的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/02_章末零条.csv,42,章末零条,,规划账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是规划账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/02_章末零条.csv,43,章末零条,,长线账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是长线账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/02_章末零条.csv,44,章末零条,,协作层,辅助记录是否作为新增卡片条目,drop_not_for_card,这是协作层的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/03_抉择句.csv,5,抉择句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0482的选择分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0482,drop_not_for_card,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/03_抉择句.csv,6,抉择句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0499的选择分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0499,keep_as_fact,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/03_抉择句.csv,7,抉择句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0505的选择分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0505,drop_not_for_card,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/03_抉择句.csv,8,抉择句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0509的选择分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0509,drop_not_for_card,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/04_因果句.csv,3,因果句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0481的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0481,keep_as_fact,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/04_因果句.csv,4,因果句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0484的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0484,keep_as_fact,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/04_因果句.csv,5,因果句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0487的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0487,keep_as_fact,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/04_因果句.csv,6,因果句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0503的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0503,mark_hearsay,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/04_因果句.csv,7,因果句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0505的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0505,drop_not_for_card,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/04_因果句.csv,8,因果句,,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是LQ-0508的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,LQ-0508,drop_not_for_card,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/02_章末零条.csv,1,章末零条,,事实账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是事实账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/02_章末零条.csv,2,章末零条,,人物账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是人物账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/02_章末零条.csv,3,章末零条,,地点账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是地点账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/02_章末零条.csv,4,章末零条,,物品账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是物品账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/02_章末零条.csv,5,章末零条,,势力账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是势力账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/02_章末零条.csv,6,章末零条,,体系／世界规则账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是体系／世界规则账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/02_章末零条.csv,7,章末零条,,知情边,辅助记录是否作为新增卡片条目,drop_not_for_card,这是知情边的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/02_章末零条.csv,8,章末零条,,A-lite,辅助记录是否作为新增卡片条目,drop_not_for_card,这是A-lite的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/02_章末零条.csv,9,章末零条,,规划账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是规划账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/02_章末零条.csv,10,章末零条,,长线账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是长线账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/02_章末零条.csv,11,章末零条,,协作层,辅助记录是否作为新增卡片条目,drop_not_for_card,这是协作层的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/03_抉择句.csv,1,抉择句,MK-DEC-001,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH01-F020的选择分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH01-F020,drop_not_for_card,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/04_因果句.csv,1,因果句,MK-CAUSE-001,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH01-F016的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH01-F016,cannot_confirm_without_body,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,1,meikong/04_因果句.csv,2,因果句,MK-CAUSE-002,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH01-F022的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH01-F022,keep_as_fact,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,2,meikong/02_章末零条.csv,12,章末零条,,事实账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是事实账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,2,meikong/02_章末零条.csv,13,章末零条,,人物账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是人物账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,2,meikong/02_章末零条.csv,14,章末零条,,地点账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是地点账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,2,meikong/02_章末零条.csv,15,章末零条,,物品账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是物品账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,2,meikong/02_章末零条.csv,16,章末零条,,势力账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是势力账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,2,meikong/02_章末零条.csv,17,章末零条,,体系／世界规则账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是体系／世界规则账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,2,meikong/02_章末零条.csv,18,章末零条,,知情边,辅助记录是否作为新增卡片条目,drop_not_for_card,这是知情边的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,2,meikong/02_章末零条.csv,19,章末零条,,A-lite,辅助记录是否作为新增卡片条目,drop_not_for_card,这是A-lite的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,2,meikong/02_章末零条.csv,20,章末零条,,规划账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是规划账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,2,meikong/02_章末零条.csv,21,章末零条,,长线账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是长线账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,2,meikong/02_章末零条.csv,22,章末零条,,协作层,辅助记录是否作为新增卡片条目,drop_not_for_card,这是协作层的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,2,meikong/04_因果句.csv,3,因果句,MK-CAUSE-003,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH02-F016的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH02-F016,keep_as_fact,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/02_章末零条.csv,23,章末零条,,事实账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是事实账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/02_章末零条.csv,24,章末零条,,人物账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是人物账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/02_章末零条.csv,25,章末零条,,地点账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是地点账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/02_章末零条.csv,26,章末零条,,物品账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是物品账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/02_章末零条.csv,27,章末零条,,势力账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是势力账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/02_章末零条.csv,28,章末零条,,体系／世界规则账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是体系／世界规则账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/02_章末零条.csv,29,章末零条,,知情边,辅助记录是否作为新增卡片条目,drop_not_for_card,这是知情边的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/02_章末零条.csv,30,章末零条,,A-lite,辅助记录是否作为新增卡片条目,drop_not_for_card,这是A-lite的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/02_章末零条.csv,31,章末零条,,规划账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是规划账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/02_章末零条.csv,32,章末零条,,长线账,辅助记录是否作为新增卡片条目,drop_not_for_card,这是长线账的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/02_章末零条.csv,33,章末零条,,协作层,辅助记录是否作为新增卡片条目,drop_not_for_card,这是协作层的章末数量或状态记录，不是故事事实，也不能据它确认正文抽全。,,,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/03_抉择句.csv,2,抉择句,MK-DEC-045,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH29-F004的选择分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH29-F004,drop_not_for_card,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/03_抉择句.csv,3,抉择句,MK-DEC-046,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH29-F008的选择分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH29-F008,keep_as_fact,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/03_抉择句.csv,4,抉择句,MK-DEC-047,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH29-F012的选择分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH29-F012,drop_not_for_card,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/04_因果句.csv,4,因果句,MK-CAUSE-080,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH29-F002的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH29-F002,mark_hearsay,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/04_因果句.csv,5,因果句,MK-CAUSE-081,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH29-F006的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH29-F006,mark_hearsay,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/04_因果句.csv,6,因果句,MK-CAUSE-082,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH29-F007的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH29-F007,keep_as_fact,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/04_因果句.csv,7,因果句,MK-CAUSE-083,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH29-F008的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH29-F008,keep_as_fact,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/04_因果句.csv,8,因果句,MK-CAUSE-084,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH29-F009的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH29-F009,mark_hearsay,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/04_因果句.csv,9,因果句,MK-CAUSE-085,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH29-F010的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH29-F010,keep_as_fact,人话卡金标候选｜未独立人工复核
我在美恐科普都市传说,29,meikong/04_因果句.csv,10,因果句,MK-CAUSE-086,,辅助记录是否作为新增卡片条目,drop_not_for_card,这是MK-CH29-F011的因果分析附表行，不作为新增事实入卡；原候选结论见主表。,MK-CH29-F011,keep_as_fact,人话卡金标候选｜未独立人工复核
