书名,章号,原表文件,切片数据行号,原表行号,evidence_id,fact_id,审阅行键,来源位置_沿用未核原文,结论,一句理由,审阅身份
炼气士不死于无限,2,lianqishi/01_落位表.csv,50,,LQ-0050,,LQ-0050,ch_0002.txt:L44,mark_hearsay,放人的用意来自闻业自述，不能把自述动机直接当成旁白确认。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,51,,LQ-0051,,LQ-0051,ch_0002.txt:L46,mark_hearsay,这是松酒对对方状况的猜测，既不能诊断患病，也不能单凭标签确认误信。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,52,,LQ-0052,,LQ-0052,ch_0002.txt:L47,keep_as_fact,记录实际提出的问题，不把问题里的未来打算当成事实。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,53,,LQ-0053,,LQ-0053,ch_0002.txt:L56,drop_not_for_card,只有接下来去哪里的决定，本行没有相应行动或到达结果。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,54,,LQ-0054,,LQ-0054,ch_0002.txt:L58,keep_as_fact,直接陈述住处所在区域，属于已有地点关系候选。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,55,,LQ-0055,,LQ-0055,ch_0002.txt:L61,mark_hearsay,住处与管道的位置关系来自松酒说明，不能去掉人物来源。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,56,,LQ-0056,,LQ-0056,ch_0002.txt:L65,mark_hearsay,父母死亡经历只有松酒陈述，不能因写成离屏就直接确认死因与场所。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,57,,LQ-0057,,LQ-0057,ch_0002.txt:L68,keep_as_fact,记录当场拿出并交给对方的物品行为。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,58,,LQ-0058,,LQ-0058,ch_0002.txt:L72,mark_hearsay,失踪人数来自新闻标题，不是本轮核实过的事件总数。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,59,,LQ-0059,,LQ-0059,ch_0002.txt:L77,mark_hearsay,就医数据和原因解释都来自调查图，尤其不能把解释当成已证实因果。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,60,,LQ-0060,,LQ-0060,ch_0002.txt:L80,mark_hearsay,工程进展来自视频说法，不等于本轮确认项目实际进度。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,61,,LQ-0061,,LQ-0061,ch_0002.txt:L86,mark_hearsay,支出情况来自松酒自述，不应直接写成已核实的财务记录。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,62,,LQ-0062,,LQ-0062,ch_0002.txt:L91,keep_as_fact,记录人物已有的设备使用经历，属于过往经验候选。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,63,,LQ-0063,,LQ-0063,ch_0002.txt:L92,keep_as_fact,记录人物平日接触过的媒介，不是对作品好坏的评价。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,64,,LQ-0064,,LQ-0064,ch_0002.txt:L94,keep_as_fact,记录既往接触和已知概念，不因附有知情落账说明而改判。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,65,,LQ-0065,,LQ-0065,ch_0002.txt:L100,drop_not_for_card,核心内容是将来积攒功德的打算，没有已经实施的对应结果。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,66,,LQ-0066,,LQ-0066,ch_0002.txt:L107,keep_as_fact,记录同一次接近事件中两人的察觉先后，不把感知范围无限扩大。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,2,lianqishi/01_落位表.csv,67,,LQ-0067,,LQ-0067,ch_0002.txt:L110,keep_as_fact,返回住处和门外叫喊都属于已经发生的行动。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,68,,LQ-0441,,LQ-0441,ch_0015.txt:L8,keep_as_fact,记录帮派规模，原行的约数不等于精确清点结果。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,69,,LQ-0442,,LQ-0442,ch_0015.txt:L8,keep_as_fact,记录限定时段内的死伤状态，不能把死伤全部算成死亡。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,70,,LQ-0443,,LQ-0443,ch_0015.txt:L14,drop_not_for_card,活捉与逼问仍是准备采取的做法，本行没有行动结果。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,71,,LQ-0444,,LQ-0444,ch_0015.txt:L17,drop_not_for_card,只有献出技术换利益的打算，没有技术到手或交易发生。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,72,,LQ-0445,,LQ-0445,ch_0015.txt:L24,keep_as_fact,记录驾驶装甲替人挡击的实际动作。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,73,,LQ-0446,,LQ-0446,ch_0015.txt:L25,keep_as_fact,记录装备承受这一次攻击后的状态，不扩大为绝对无法摧毁。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,74,,LQ-0447,,LQ-0447,ch_0015.txt:L26,keep_as_fact,记录装备型号属性与所述内部售价，不是评价其是否值得购买。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,75,,LQ-0448,,LQ-0448,ch_0015.txt:L27,keep_as_fact,服役与取得装备都按既往经历陈述，不因离屏而排除。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,76,,LQ-0449,,LQ-0449,ch_0015.txt:L28,keep_as_fact,记录这台装备已有的定制属性。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,77,,LQ-0450,,LQ-0450,ch_0015.txt:L31,cannot_confirm_without_body,王牌可能是具体履历，也可能只是夸赞，缺正文无法分清。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,78,,LQ-0451,,LQ-0451,ch_0015.txt:L33,keep_as_fact,保留系统显示的匹配读数，不把读数当成实战表现评分。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,79,,LQ-0452,,LQ-0452,ch_0015.txt:L37,keep_as_fact,命令已经发出，但本行不证明对方已经完成组织反击。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,80,,LQ-0453,,LQ-0453,ch_0015.txt:L38,mark_hearsay,防御弱点是巴托特的战术判断，不是已经验证的能力短板。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,81,,LQ-0454,,LQ-0454,ch_0015.txt:L49,keep_as_fact,记录碰撞后双方实际退移的结果。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,82,,LQ-0455,,LQ-0455,ch_0015.txt:L53,mark_hearsay,力量比较来自闻业当时的判断，不宜直接写成不受条件限制的强弱设定。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,83,,LQ-0456,,LQ-0456,ch_0015.txt:L62,keep_as_fact,记录已经使用的攻击手段及原行给出的温度范围。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,84,,LQ-0457,,LQ-0457,ch_0015.txt:L62,keep_as_fact,记录这次防护成功及不稳定表现，不宣称防护可以一直维持。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,85,,LQ-0458,,LQ-0458,ch_0015.txt:L63,keep_as_fact,记录符箓品级和人物当时掌握范围内的防御能力设定。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,86,,LQ-0459,,LQ-0459,ch_0015.txt:L71,keep_as_fact,记录作品中的防御装备分类，属于已有规则信息候选。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,87,,LQ-0460,,LQ-0460,ch_0015.txt:L72,mark_hearsay,兼抗两类攻击是巴托特的认识，这行的人物来源不能省略。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,88,,LQ-0461,,LQ-0461,ch_0015.txt:L74,mark_hearsay,企业背景只是巴托特的怀疑，不能写成实际组织隶属。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,89,,LQ-0462,,LQ-0462,ch_0015.txt:L75,drop_not_for_card,只有短暂浮现的谈判念头，没有作出选择或展开谈判。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,90,,LQ-0463,,LQ-0463,ch_0015.txt:L79,keep_as_fact,选择之后已有继续冲锋的实际行动，不是纯未来计划。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,91,,LQ-0464,,LQ-0464,ch_0015.txt:L85,keep_as_fact,保留符箓的运作条件与承受上限，不表示本行已发生超限崩溃。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,92,,LQ-0465,,LQ-0465,ch_0015.txt:L87,keep_as_fact,记录此时剩余法力，属于有时间范围的资源状态。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,93,,LQ-0466,,LQ-0466,ch_0015.txt:L88,keep_as_fact,记录实际灌注法力的行为，不是预计消耗。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,94,,LQ-0467,,LQ-0467,ch_0015.txt:L94,keep_as_fact,记录攻击造成的装甲与电路破坏。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,95,,LQ-0468,,LQ-0468,ch_0015.txt:L106,drop_not_for_card,只是对战局优势的概括，未给出独立的具体动作或状态变化。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,96,,LQ-0469,,LQ-0469,ch_0015.txt:L112,keep_as_fact,记录装甲被击垮的明确战斗结果。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,97,,LQ-0470,,LQ-0470,ch_0015.txt:L115,keep_as_fact,记录具体伤处和候选明确给出的受伤原因。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,98,,LQ-0471,,LQ-0471,ch_0015.txt:L119,keep_as_fact,记录战后倒卧及失去行动能力等状态，不是未来受伤预测。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,99,,LQ-0472,,LQ-0472,ch_0015.txt:L137,mark_hearsay,政治立场的确认归于巴托特认识，不能凭知道标签抹去人物来源。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,100,,LQ-0473,,LQ-0473,ch_0015.txt:L144,keep_as_fact,记录实际下达的指令，不把指令目标当成双方已经死亡。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,15,lianqishi/01_落位表.csv,101,,LQ-0474,,LQ-0474,ch_0015.txt:L145,keep_as_fact,记录指令后的爆炸及环境变化，是候选明确陈述的结果。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,102,,LQ-0475,,LQ-0475,ch_0016.txt:L9,keep_as_fact,记录爆炸后生还、爬出及受伤状态。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,103,,LQ-0476,,LQ-0476,ch_0016.txt:L12,keep_as_fact,记录衣物在已发生爆炸中的损毁。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,104,,LQ-0477,,LQ-0477,ch_0016.txt:L13,keep_as_fact,说明已经发出的指令内容，不是新提出的未来自爆计划。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,105,,LQ-0478,,LQ-0478,ch_0016.txt:L14,keep_as_fact,记录装甲已有的能源配置，属于物品属性候选。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,106,,LQ-0479,,LQ-0479,ch_0016.txt:L16,keep_as_fact,记录爆炸造成的地形变化，尺寸仍保留原有约数范围。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,107,,LQ-0480,,LQ-0480,ch_0016.txt:L16,keep_as_fact,记录建筑损毁和外围坍塌的实际后果。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,108,,LQ-0481,,LQ-0481,ch_0016.txt:L18,keep_as_fact,记录已经使用的抵挡手段和防护结果，不推算其他未发生伤势。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,109,,LQ-0482,,LQ-0482,ch_0016.txt:L21,drop_not_for_card,内容仍是以后如何防备的计划，决策落账不等于防备行动已发生。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,110,,LQ-0483,,LQ-0483,ch_0016.txt:L24,keep_as_fact,记录自爆后的剩余法力，没有写成永不耗尽。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,111,,LQ-0484,,LQ-0484,ch_0016.txt:L25,keep_as_fact,这一行把功法与血脉的作用作为既有人物能力设定陈述。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,112,,LQ-0485,,LQ-0485,ch_0016.txt:L27,keep_as_fact,记录当下的轻度疲惫状态。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,113,,LQ-0486,,LQ-0486,ch_0016.txt:L28,keep_as_fact,记录安定作用的边界，属于能力限制而非空泛评价。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,114,,LQ-0487,,LQ-0487,ch_0016.txt:L29,keep_as_fact,记录已施法造成的神魂消耗。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,115,,LQ-0488,,LQ-0488,ch_0016.txt:L33,mark_hearsay,对手等级是闻业的估计，不能直接固定为客观战力档位。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,116,,LQ-0489,,LQ-0489,ch_0016.txt:L33,mark_hearsay,死亡结论归于闻业判断，这一行没有说明独立核实依据。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,117,,LQ-0490,,LQ-0490,ch_0016.txt:L37,mark_hearsay,主要威胁的排序是闻业的风险判断，不是已经发生的企业攻击。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,118,,LQ-0491,,LQ-0491,ch_0016.txt:L38,keep_as_fact,记录实际取物和换装，人物穿着已有变化。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,119,,LQ-0492,,LQ-0492,ch_0016.txt:L39,keep_as_fact,记录储物戒当前所存物品的类别。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,120,,LQ-0493,,LQ-0493,ch_0016.txt:L40,keep_as_fact,虽然带有取书目的，但取得功法是已经发生的经历。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,121,,LQ-0494,,LQ-0494,ch_0016.txt:L45,keep_as_fact,记录警车实际抵达及停留位置。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,122,,LQ-0495,,LQ-0495,ch_0016.txt:L48,keep_as_fact,记录警官已有任职经历，不是对办案能力的评价。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,123,,LQ-0496,,LQ-0496,ch_0016.txt:L53,keep_as_fact,这一行把旧案作为已处理的经历陈述，不是当前发生的新案。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,124,,LQ-0497,,LQ-0497,ch_0016.txt:L54,keep_as_fact,记录既往事故及处理经历，过去发生不等于本章新发生。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,125,,LQ-0498,,LQ-0498,ch_0016.txt:L71,mark_hearsay,熔毁与人员结局来自警官的确认，这行不能代替对遗骸身份的核实。,人话卡金标候选｜未独立人工复核
炼气士不死于无限,16,lianqishi/01_落位表.csv,126,,LQ-0499,,LQ-0499,ch_0016.txt:L77,keep_as_fact,记录已发出的命令，不据此推定每名警员都已照做。,人话卡金标候选｜未独立人工复核
