window,title,part_name,part_kind,cognitive_job,key_rules_text,migratability,common_misborrow,arch_slot_candidate,mountability,part_evidence_level,source_report,ingested_at
p2_w02,人渣反派自救系统,反派位死亡倒计时,禁忌/状态事实,读者不用再猜风险，反派身份本身就是炸弹,原作结局很惨；反派标签让主角天然站在错误位置；一切自救都带着延后爆雷的味道,高,把反派自救写成轻松换号重开,reader_promises,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,人渣反派自救系统,修仙壳里的套路吐槽,信息差/读者承诺,只要读者见过一点男频/种马文套路，就能秒懂戏仿方向,外层是修仙师徒文；内层是对原作套路的吐槽与拆解；喜剧感来自内心独白和现实落差,高,只保留吐槽，不给角色真情感和真风险,reader_promises,可挂候选,中,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,死亡万花筒,十二门,地图副本/规则,副本入口统一成“门”，读者一秒知道这章是不是进新关,现实空间会突然裂出门；门后一关一个局；门越往后风险越高；门既是地图，也是寿命/生还资格的判定口,高,只抄‘副本一扇门’，没给门外世界和门内代价,rules,可挂候选,强到中,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,死亡万花筒,钥匙生还,资源/禁忌,读者不必跟你猜结算条件，只要盯住钥匙与通关就行,门内不是纯杀戮秀；活下去要解规则；拿到钥匙才算真正过门；门内恐怖与谜题捆在一起,高,把副本写成纯打怪，不写解谜和结算,rules,可挂候选,中,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,死亡万花筒,门外喘息、门内恐怖,叙事装置/读者承诺,读者天然知道节奏会在闯关和人物关系之间切换,门外是休整和关系推进带；门内是压迫和真相带；两区反差让恐怖和情感都更稳,高,全程只刷副本，人物关系没有呼吸面,reader_promises,可挂候选,中,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,神秘复苏,厉鬼三规则,规则/禁忌,读者不用问‘主角怎么打怪’，因为这类鬼本来就不是拿刀砍死的,鬼无法被正常杀死；能对付鬼的只有鬼；活人要靠洞察规律求生；恐怖来自规则不来自战力值,极高,把规则型恐怖又写回热血驱魔,rules,可挂候选,中,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,神秘复苏,驭鬼者,力量表/资源/代价,主角为什么能活、为什么越来越危险，一条线就解释完,人借鬼之力求生；借来的同时会被反噬；越强越靠近失控边缘；活命和异化是一体两面,高,只借能力不借代价,rules,可挂候选,中,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,神秘复苏,灵异事件城市图,地图/事件/状态事实,不用一次抛完整世界史，按城市事件一个个推开就行,一座城一件事就能当副本；灵异物件既是线索也是污染源；小事件会连成更大灾变,高,每次新鬼都像平地冒出来，没有旧事件沉淀,events,不可挂,中,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,十日终焉,十日轮回,规则/时间装置,读者立刻明白失败不是直接清零，而是进入一套更残酷的重置机制,参与者被困终焉之地；每十日为一个轮回；第十一天会失忆复活；少数人能保留记忆或在轮回中撬出优势,极高,只抄循环，不给循环附带记忆与身份成本,rules,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,十日终焉,生肖分级游戏,地图副本/势力/规则,不用一章章重讲难度体系，天/地/人三级和十二生肖已经是天然索引,游戏由十二生肖掌管；多以怪诞国风为基调；同一大框里有分级、分题材、分博弈方式的空间；逃离要靠持续攻略游戏而非一把梭,高,只抄生肖壳，不给每个掌局者独特逻辑,rules,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,十日终焉,回响,力量表/信息差,超能力不是白送外挂，而是轮回里极少数记忆/欲望的能力外化,只有极少数人会觉醒；能力和现实欲望、人格执念有联系；能力不是万能开门器；高智斗仍然压过纯能力碾压,高,把回响写成随便开挂,rules,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,佛本是道,地仙界神谱,地图/势力/状态事实,不用重造原创神话，只要把读者熟悉的神佛谱系重新排位即可,古典神话人物全部纳入统一宇宙；神佛妖仙都进入一张谱系图；地位高低与道统所属决定资源和冲突边界,高,人名堆满天，关系却不清,entities,不可挂,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,佛本是道,量劫-道统-封神再编,规则/势力棋盘,读者天然明白大冲突不靠私人恩怨，而靠天命和道统推进,三清、女娲、佛门等都是大势力；封神与西游不是旧故事引用，而是新秩序的法理来源；个人飞升要服从更高量劫逻辑,高,只借洪荒名词，不给‘谁管谁’和‘为什么打’,rules,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,佛本是道,故事新编式修仙,读者承诺/信息差,读者靠旧神话记忆就能快速进入新设定,借旧人物、旧神话、旧典故；但冲突组织法是新的；熟悉感服务的是快入门，不是原样复诵,高,把新编写成百科搬运,reader_promises,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,鬼吹灯,摸金规矩,禁忌/规则,读者不用追问盗墓凭什么成立，一句“摸金校尉+行规秘术”就能进戏,倒斗不是散人瞎闯；有传承、有秘术、有忌讳；胆子和专业缺一不可；规矩本身带来仪式感和危险感,极高,只抄黑话，不给专业可信度,rules,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,鬼吹灯,半本《十六字阴阳风水秘术》,资源/信息差,秘术书一出，寻找、解释、破解三条线就都成立了,知识不完整，所以永远有误判和未知；风水不仅是名词，也是解谜工具；半本残缺比全本更能推悬念,高,给主角一本全知手册,resources,不可挂,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,鬼吹灯,铁三角古墓副本,地图副本/人物关系母型,一支稳定探险小队，能把恐怖、吐槽、专业、情感全分工掉,每一部古墓就是一张新地图；三人组承担不同功能；上一代秘闻会反哺下一代副本；副本推进和身世谜团同步展开,极高,只抄三人组嘴炮，不写地宫设计和民俗逻辑,reader_promises,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,龙蛇演义,国术实战谱,力量表/规则,读者不用接受玄幻真气，只要接受‘这是一套近身杀伤学’就能看懂升级,国术主死不主秀；技击来自长期打磨与实战验证；不同拳种是不同路数不是皮肤；拳理要能转成对战结果,高,只列拳种名，不写身体感觉和实战代价,rules,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,龙蛇演义,现代社会里的江湖,势力棋盘/地图,你不用把舞台放古代，也能有江湖,黑帮、黑拳、秘密组织、国际资本都能牵进来；现代秩序之下仍有地下搏命世界；武术不是风景，是生存和力量话语,高,把现代背景只是当服装，不写地下秩序,state_facts,不可挂,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w02,龙蛇演义,师承引路，极限爬升,成长表/人物关系母型,唐紫尘一出场，主角的门、路、标杆都齐了,先被看见，再被领进门；天分不替代苦练；真正成长靠一次次生死局校正；师承既给技，也给世界入口,高,给主角名师，却不给他足够肉身训练期,payoffs,可挂候选,强,p2_w02_deep10.md,2026-07-18T14:03:06+08:00
p2_w03,飘渺之旅,跳图式星球修真,地图/信息差,不用先把整套仙界史讲明白，只要告诉读者“下一颗星球＝更高文明/更怪奇物”，读者就会自动接受换地图,修真不只在一山一门；传送阵负责剪掉长途路程；每一站都靠新奇规则维持阅读动能；中式修真能和科技、古堡、异兽并存；奇观本身就是叙事燃料,高,只学“跳图”，不配套新规则，最后每站只是换背景板,none,不可挂,中,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,飘渺之旅,境界链＋法宝通货,力量表/资源,读者只要盯住“更高境界、更强法宝、更稀有材料”，就能迅速理解成长方向,战力和境界绑定；法宝是战斗力也是世界说明书；丹药、飞升、雷劫、传送阵等一起构成修真日常；资源并非纯后勤，而是推动剧情的硬货币,很高,只抄名词，没把资源流、交通流、风险流绑在一起,rules,可挂候选,中,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,诛仙,师门修行三段式,力量表,读者不用学复杂宇宙论，只要知道青云门修行有清晰台阶，成长就能看懂,青云门核心功法是太极玄清道；境界分玉清、上清、太清；佛门与魔教各有自己的修法；主角同时背着多体系冲突前进,高,只抄三境界，不做体系冲突与伦理冲突,rules,可挂候选,中,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,诛仙,正魔双棋盘,势力/信息差,不用讲一堆史书，读者天然就能站到“正道/魔教”二元对立里，再慢慢看边界被打碎,青云门、天音寺、焚香谷是正道显学；鬼王宗等魔教势力既是外敌也是情感入口；主角所站之处和他所爱之人不在同一边；立场冲突比纯升级更重要,很高,把正魔写成标签，不给每边一个可理解的人心逻辑,none,不可挂,中,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,盘龙,位面法则阶梯,力量表,读者只要理解“更高位面＝更高法则掌控”，升级路径就非常清楚,奇幻外壳下是台阶式成长；个体强大来自对法则/规则的掌握；更高层并不只是数值更大，而是世界解释权更大；大地图和高位面天然自带后续承诺,很高,只学升级表，不学每层的规则差异,rules,可挂候选,强,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,盘龙,家族债＋戒指奇遇,信息差/叙事装置,用“没落贵族少年＋神秘戒指”就能一口气交代血脉、复兴、师承、外挂四件事,起点要低；家族荣耀是外部任务；神秘遗物负责打开第一道门；主角能看到别人看不到的修行捷径；复仇与复兴和升级并行,高,把戒指写成万能许愿机，失去训练与代价,rules,可挂候选,中,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,猛龙过江,现实与网游双战场,信息差/叙事装置,读者无需接受“游戏只是游戏”，因为游戏成绩会直接反哺现实地位与人际关系,网游不是支线；现实与网游互相抬升；游戏身份能改写现实形象；主角的社会爬升与游戏爬升同速进行,高,现实线只是后宫收割器，导致双线失衡,rules,可挂候选,中,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,猛龙过江,强者金字塔叙事,力量表/读者承诺,一句“高高站在塔尖的只有少数人”就把男频胜利叙事立住了,主角不是普通玩家，而是将爬到顶层的人；天赋与好运被明写；比赛、秘务、跨国竞技都服务同一个“赢”字；美女与资源围绕胜者聚集,中,只剩无代价通吃，今天会显脏,reader_promises,不可挂,中,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,步步惊心,知道大历史，不知道小人心,信息差,主角和读者都知道“九龙夺嫡”这件大事，因此不用再解释大局，只要看人在大局里怎样误判彼此,现代白领穿进康熙朝；她知道历史走向；但她不知道所有人的临场情绪与真实底牌；越想规避风险，越会被情感拉回局中,很高,只有历史小抄，没有人物误差，故事就会像攻略本,none,不可挂,强,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,步步惊心,夺嫡宫廷站队禁忌,禁忌/势力,把复杂宫廷政治收束成“站队”“不站队”“站错队”三种读法，读者马上能入局,阿哥各自成派；后宫礼法与皇权秩序高于个人恋爱；女性位置天然脆弱；每一次亲近都可能被政治重新命名,高,把历史皇子写成标准霸总，失去制度压力,rules,可挂候选,中,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,花千骨,十方神器倒计时,力量表/禁忌,不用讲一大摞神话史，只要讲“神器不能乱动、动了会放出更大灾祸”，危险就自动成立,十方神器各有权能；保神器是门派公共任务；偷神器不是小错，是世界级越界；神器和妖神/洪荒之力相连；救一人可能害六界,中高,把神器只是写成藏宝图，不写其道德代价,rules,可挂候选,中,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,花千骨,师徒禁忌＋苍生优先,禁忌/势力,一条“掌门师父必须先顾天下”就能直接制造关系张力,白子画是长留掌门；花千骨是其唯一弟子；师徒亲密天然违法情理秩序；长留与七杀等势力构成外部压力；“苍生”和“我”不能同时被完整保住,很高,只学禁恋，不学责任与秩序压迫，于是只剩古偶糖虐,none,不可挂,强,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,黑莲花攻略手册,炮灰女三错位入场,信息差/叙事装置,不用重建整个异世界，只要先给读者一个“原书角色位阶表”，他们立刻知道你处在危险位置,这是一本被写好的传奇；你不是主配线赢家；原身自带讨厌值；你的一举一动都在既有叙事里带来偏差；偏差就是戏,很高,只写穿书身份梗，不写“原剧情惯性”,rules,可挂候选,强,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,黑莲花攻略手册,攻略目标错位,规则/信息差,系统一句“不是抢男主，而是攻略黑莲花弟弟”，就自动把故事从常规穿书文拧歪,目标不是官配中心；“黑莲花”说明对象危险且情绪不可测；攻略不是征服，是避免系统与人心双重失控；轻松语气下包着高风险目标,极高,把“黑莲花”写成单纯嘴坏，失去危险感,rules,可挂候选,强,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,穿成男主白月光[快穿],白月光任务协议,规则/叙事装置,一句“给温暖→分手→促成官配”就把每个世界的任务闭环讲明白了,女主要在落难期出现；她必须足够高不可攀；温暖要及时但有限；在最热恋时切断；预期结果是男主转向命定女主,极高,只写白月光滤镜，不写任务时点和退出时点,rules,可挂候选,强,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,穿成男主白月光[快穿],黑化反噬,信息差/规则,不用重新发明冲突，只要让男主在功成名就后不按剧本走，单元戏就全活了,原计划认为男主会按官配线前进；实际却集体黑化；任务本身制造情感债；每个世界可以套同一机制做变体；“反噬”就是追读动因,极高,黑化没有前因，只剩强制爱,rules,可挂候选,强,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,洗铅华,恶毒女配生存录,叙事装置/信息差,读者天然知道“恶毒女配在原叙事里会死得很惨”，所以人物目标不用多解释，先活下来就够抓人,主角穿进书中成恶毒女配；她知道自己原定下场；保命优先于恋爱；自救会改写别人命运；改写越多，关系越乱,极高,只有“我知道自己是恶毒女配”这一句，没有真正的原剧情压力,rules,可挂候选,强,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,洗铅华,撮合官配却卷入新情感,信息差/人物关系母型,一句“我要把原男女主撮回去”就把女主的初始路线说清楚，后续偏航自然成立,主角试图修复原官配；原剧情不是完全可靠；靠近男二/皇帝等新对象会带来新局；情感不是奖励，而是偏航产物,高,把撮合官配写成嘴上说说，没有真执行,none,不可挂,强,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,欢迎来到噩梦游戏,真死副本机制,规则,一句“没有下线选择、没有死后重来，进来就得活到死”就把危险等级拉满,游戏与现实联通；玩家来自真实世界；医院只是新手村；之后有主线任务和副本世界；死亡是真死，不可读档,极高,只写恐怖场景，不写规则压力,rules,可挂候选,强,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w03,欢迎来到噩梦游戏,单元副本＋长线主线并行,叙事装置/规则,不用靠单一地图撑长篇，每个副本是短爆点，主线世界观负责把它们串起来,新手村只是入口；后面副本进入平行时空；玩家会被赋予新身份；主线任务与副本任务并存；系列后续不断抬高大世界 stakes,很高,副本花里胡哨，主线空心,rules,可挂候选,中,p2_w03_deep10.md,2026-07-18T14:26:46+08:00
p2_w04,超神机械师,玩家—土著错位接口,信息差,省掉“为什么玩家行为和本地人逻辑完全不同”的解释成本,玩家会复活、能接任务、把世界当游戏、本地人无法理解其行为逻辑、主角能反过来利用这点做资源调度、世界因此自动长出喜剧和运营感,高，换成仙侠、末世、西幻都能跑,只抄“玩家是疯子”，却不写主角如何系统化使用玩家,rules,可挂候选,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,超神机械师,多职业成长树＋图纸经济,力量表,省掉“能力升级为什么不乱套”的理解门槛,职业分支明确、机械师有多阶段进阶、成长要图纸和知识支撑、升级带来新玩法而不只是数值变大、职业差异天然制造对局与配队,高,只拿职业名，不拿资源约束和阶段解锁,rules,可挂候选,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,超神机械师,星海势力棋盘,势力,省掉“大地图为什么值得一直往上打”的外部解释,星际背景包罗万象、职业和物种众多、宏观势力长期对峙、个人成长会挤进文明级冲突,中,只学“大宇宙设定”，不学势力与成长线的互锁,state_facts,不可挂,中,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,神医嫡女,现代医术穿古代高门,资源,省掉“女主凭什么在高门站稳”这类立身成本,女主带现代中西医知识、医术既能救命也能断案或反杀、医疗能力能换人情和政治保护、医术是身份逆转的第一枚筹码,高,只留神医名头，不给病例、手段、代价与传播路径,rules,可挂候选,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,神医嫡女,嫡庶礼法高压场,禁忌,省掉“后宅为什么一句话就能杀人”的社会解释,嫡庶差序明确、家族名分决定资源分配、婚姻联结直接接入政治、女主一开始在规则低位、反击不能只靠嘴硬必须有规则抓手,高,把宅斗写成泼妇吵架，礼法只是摆设,state_facts,不可挂,中,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,神医嫡女,医院／药房变权力接口,信息差,省掉“女主怎么从家斗接到朝堂”的台阶成本,医术能跨阶层触达权贵、救治场景天然制造秘密、人情债能滚成政治资本、女主因此从家门走向更大舞台,中高,直接把女主送进皇宫，却没有职业接口过桥,rules,可挂候选,中,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,梦回大清,故宫入口式穿越门,地图,省掉“为什么会突然穿清朝”的复杂解释,现代人从现实地标误入历史、穿越入口和清代皇宫直接绑定、现实读者对故宫早有既定印象、所以情境很快成立,中,生硬复制地标穿越，却没有后续礼法压力接住,rules,可挂候选,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,梦回大清,阿哥棋盘型男主群,势力,省掉“多男主为什么天然有戏”的前置铺垫,历史人物自带性格与站队想象、读者对四爷十三爷等有预设、感情线和政治线天然互绑、每次站队都有情感后果,中,只借人名与站队，不写现代视角的误判成本,entities,不可挂,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,梦回大清,现代视角撞上历史既定性,信息差,省掉“为什么这段恋爱一直带着宿命感”,主角来自现代、知道历史大概轮廓但不可能全知、情感不能轻易改写皇权结构、越投入越会看到历史的硬墙,高,把穿越者写成全知改命机器,rules,可挂候选,中,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,极品家丁,家丁低位高机动入口,信息差,省掉“主角凭什么一进场就能近距离接触豪门核心”的台阶成本,身份很低、行动空间却大、既能见小姐也能见管家与商铺、低位让他可观察高门各层、读者天然知道他要往上爬,高,只借卑微身份，不给核心人物接触权限,rules,可挂候选,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,极品家丁,现代销售脑转古代实操,资源,省掉“主角靠什么在古代立功”的技能说明,主角会营销、会社交、会包装、现代知识能立刻转成商业手段、再继续外溢到官场和战场,高,把现代知识写成万能点石成金，不写社会阻力,rules,可挂候选,中,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,极品家丁,架空大华多场景联通,地图,省掉严格考据压力，又保留“像历史”的熟悉感,大华是架空王朝、宅门只是起点、后续可自然接商战官斗边疆战事、多线扩展依旧不脱轨,中高,只剩段子和后宫，不做多场景接续,state_facts,不可挂,中,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,杜拉拉升职记,外企组织流程可视化,势力,省掉“办公室政治为什么能推动情节”的说明成本,公司有明确层级、项目和预算有流程、跨部门配合有摩擦、升迁与项目表现强绑定、管理者和执行者的认知差天然制造冲突,高,只写恋爱和撕逼，不写组织结构,state_facts,不可挂,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,杜拉拉升职记,项目制晋升台阶,资源,省掉“为什么她会升职”的随机感,每次晋升都对应一个更大项目、项目里会暴露沟通、预算、汇报、协调能力、成长不是空喊奋斗而是具体产出,高,只给女主头衔变化，不给具体工作抓手,rules,可挂候选,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,杜拉拉升职记,白领现实感情线,信息差,省掉“职场线和情感线为什么能同框”的单独搭桥,办公室关系与私人生活互相渗透、恋爱会影响站队与判断、女性视角让微观情绪更可见,中高,把职场线全让位给恋爱线,reader_promises,不可挂,中,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,我有一座冒险屋,鬼屋经营＝副本入口,地图,省掉“主角为什么总能遇到怪谈”的找事成本,主角天然有经营场所、每个场景都能升级成副本、来访者既是顾客也是触发器、经营和探险互相喂养,高,只借鬼屋皮，不写经营逻辑和场景更新,rules,可挂候选,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,我有一座冒险屋,黑色手机任务系统,信息差,省掉“主角为什么知道该去哪、做什么”的调度成本,神秘设备给任务、任务与父母失踪线相连、每次任务都既探案又开图、现实与异度空间互相映射,高,把系统当签到器，不当剧情分配器,rules,可挂候选,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,我有一座冒险屋,惊悚里包温情,读者承诺,省掉“为什么恐怖文能一直追下去”的疲劳问题,鬼不只是吓人、很多任务最后回到遗憾和执念、恐怖强度和人情回收一起涨,中高,只学吓人，不学情感回收,reader_promises,不可挂,中,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,总裁在上我在下,资本型霸总私域权力场,势力,省掉“男主为什么能随时越界控制女主”的现实说明,男主掌握巨大资本与封闭空间、私人规则高于日常规则、女主被卷进其私域秩序、情感推进天然带控制与反控制,中,只写蛮横，不给他真正可支配的私域资源,state_facts,不可挂,中,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,总裁在上我在下,孩子谜案式强绑入口,信息差,省掉“男女主为什么不得不被绑在一起”的搭桥成本,男主基于误会或秘密强行介入、双方掌握的信息不对等、真相被拖成长线、每次重逢都在重新解释旧事,高,只保留误会，不做可持续的秘密链,rules,可挂候选,中,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,总裁在上我在下,漫画家女主与偏执科技总裁反差配对,人物关系母型,省掉“为什么两个人一碰就起火花”的人物解释,女主贫而有创作属性、男主强而不懂正常情感、两人认知风格相反、反差天然制造纠缠与驯化感,高,把女主写成纯受害者，反差只剩阶级差,entities,不可挂,中,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,异常生物见闻录,房东型异常收容所,实体,省掉“为什么各种异种会长期共处”的合理化成本,主角不是英雄开局、他先是房东、房客是异常生物、日常同居天然让世界观碎片化进入、奇观先变成生活噪音,高,只写怪人合租，不接更大世界解释,rules,可挂候选,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,异常生物见闻录,神明劳动合同／审查官工种,叙事装置,省掉“普通人为什么能合法介入跨文明事件”的入口成本,主角被制度性征召、从个人杂事被拉向文明审查、任务让家常戏和宇宙戏互相转场、超大设定通过差事逐步揭开,高,只给主角神秘任命，不设计长期职责,rules,可挂候选,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,异常生物见闻录,吐槽日常包宏大史诗,读者承诺,省掉传统硬科幻的进入门槛,人物嘴贫、生活感强、却持续碰见文明毁灭级叙事、轻松表面下压着史诗核、读者可以先被逗留住再被设定带走,中高,只学吐槽，不学宏大结构回收,reader_promises,不可挂,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,庶女攻略,明代高门礼法细则,禁忌,省掉“宅斗凭什么成立”的制度解释,嫡庶尊卑有效、家法和门第真会决定人生、婚姻是资源配置、女性行动空间受限但并非全无余地、细节礼俗能替剧情加压,高,只写算计，不写礼法环境,state_facts,不可挂,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
p2_w04,庶女攻略,庶女—继室晋升路径,资源,省掉“低位女主如何进入主桌”的台阶成本,女主不是天降高位、她先在结构低位求生、通过处事能力、家务技艺、情绪稳定和规则意识一点点换位置、婚后仍要处理旧宅旧人旧关系,高,让女主只靠嘴炮和现代观念碾压所有人,rules,可挂候选,强,p2_w04_deep10.md,2026-07-18T15:44:42+08:00
