source_report,track,window,title,author,platform,prototype_why,skeleton_fingerprint,ledger_kind,origin,authority,body_verifiable,opening_hook_pattern,growth_rhythm,pleasure_engine_labels,promise_pattern_guess,payoff_pattern_guess,chapter_handoff_available,shared_explanation,borrow_type_tags,ingested_at
p2_w03_deep10.md,ST-002,p2_w03,飘渺之旅,萧潜,早期台湾鲜网连载、后在大陆网络连载并出版，公开资料常指向台湾连载与大陆幻剑/纸书传播链,公开讨论里长期被叫作“修真流鼻祖”“星球修真流代表”，而官方/准官方简介又反复强调它把“先进文明、法宝、仙人遗迹、西式古堡、异兽”放进一个修真大框里，这就是它最容易被后人借走的地方,,survey_not_ledger,deep_research,non_authoritative,未知,成人主角在现实崩盘后，被高位存在直接拽离日常，进入更大世界,背叛/改造→误入异地→见奇观→拿法宝→跨世界升级,跳地图、捡设定、看大物、境界跃迁、奇遇驱动,每往前一步，世界都会比上一层更大、更怪、更强,从“被世界抛出去的人,否,它的核心不是单一人物关系，而是“见更大的世界”本身,,2026-07-18T14:26:46+08:00
p2_w03_deep10.md,ST-002,p2_w03,诛仙,萧鼎,最早连载于幻剑书盟，后转纸书与修订版传播,中国青年作家报把它称为“网络文学仙侠流派的开创性经典作品之一”，而其公开简介稳定指向“师门成长、正魔两道、情感与立场撕扯”这条仙侠主干,,survey_not_ledger,deep_research,non_authoritative,未知,少年在灭门惨案后被大门派收留，进山学艺,受害者→门内弟子→下山历练→立场撕裂→身份坠变,师门成长、正魔摇摆、法宝纠缠、悲恋压顶、立场反转,他越变强，越难在“善,从“想做好人,否,它吸人的地方，不只在修仙，而在“越修越痛”,,2026-07-18T14:26:46+08:00
p2_w03_deep10.md,ST-002,p2_w03,盘龙,我吃西红柿,起点中文网,中国作家网直接把它概括为“升级流男频奇幻小说”的范本，起点官方页面也把它定位为奇幻长篇；更关键的是，它后来成为最早被完整译介并在海外广泛接受的中国网文个案之一，所以它常被当作“规则清楚、门槛低、可复制”的模板,,survey_not_ledger,deep_research,non_authoritative,未知,没落家族少年在小镇训练场被“必须变强”反复点题,小镇起步→天赋显现→家族与仇恨驱动→位面外扩→法则登顶,升级流、家族复兴、法则进阶、大地图、奇幻异兽,每一阶段都会给出更高层的规则和更大层级的敌人,从地方贵族少年升到能定义宇宙秩序的人,否,它特别适合当“规则比文气更先行”的样板,,2026-07-18T14:26:46+08:00
p2_w03_deep10.md,ST-002,p2_w03,猛龙过江,骷髅精灵,起点系传播最广，现可见微信读书纸书版与目录页,公开评论和网络游戏小说发展史文章都把它放在早期网游小说代表位置，尤其是“现实/网游双线并跑、男频胜利叙事、种马倾向明显”的那一路早期样板里,,survey_not_ledger,deep_research,non_authoritative,未知,“游戏少年并非废物”的自证型开局,新人期→比赛/奇遇→现实翻盘→跨区/跨国扩战场,网游竞技、现实反打、男性胜利叙事、收资源、国际对抗,主角会从游戏里打出名望，再把名望变成现实统治力,从被低看的人变成现实与虚拟两边都站塔尖的人,否,它的历史价值比今天的审美完成度更重要,,2026-07-18T14:26:46+08:00
p2_w03_deep10.md,ST-002,p2_w03,步步惊心,桐华,2005 年登陆晋江原创网，后多版出版,中国作家网把它列为女频清穿经典；中新网和论文摘要都把它放进早期“清穿迷”的形成与“清穿风潮”的中心位置，公开讨论里它更常被放进“清穿三座大山”之一去理解,,survey_not_ledger,deep_research,non_authoritative,未知,现代女性意外穿入熟知的大历史现场,旁观→卷入→站队焦虑→情感深化→宿命反噬,历史代入、宫廷站队、知史悖论、群像情感、宿命感,她越懂历史，越救不了自己真正爱的人,从想靠知识保命，走到发现情感和制度会一起碾过个人,否,它不是简单穿越甜文，而是“带着答案进考场，还是会考砸”的结构,,2026-07-18T14:26:46+08:00
p2_w03_deep10.md,ST-002,p2_w03,花千骨,Fresh果果,晋江文学城,公开媒体直接说《花千骨》把“师徒恋”做成了相对成熟的言情模式；它因此常被拿来当仙侠师徒虐恋的标杆,,survey_not_ledger,deep_research,non_authoritative,未知,命格诡异的孤女遇见高位恩人，自此把追寻与爱慕绑在一起,寻恩→拜师→门派试炼→神器失控→禁忌关系被世界放大,师徒禁忌、神器任务、苍生与私情对撞、极致虐恋、毁灭性女主转变,她越向师父靠近，越会逼出更大的世界灾难,我重要还是苍生重要,否,它不是一般仙侠升级，而是拿大灾难给亲密关系加压,,2026-07-18T14:26:46+08:00
p2_w03_deep10.md,ST-002,p2_w03,黑莲花攻略手册,白羽摘雕弓,晋江文学城,它在官方文案里就把“你不是女主也不是反派女二，而是炮灰女三”“攻略对象不是男主而是黑莲花弟弟”说得很清楚，这种**错位穿书＋错位攻略**后来被大量模仿，且已形成明显同人与改编外扩,,survey_not_ledger,deep_research,non_authoritative,未知,读者熟悉的狗血书内穿越，但主角掉在最不安全的位置,认位阶→接任务→靠近危险目标→误会与好感并涨→系统与人心双重偏轨,反套路穿书、错位攻略、轻喜悬疑、病娇救赎、纸面高概念,你以为在修官配，结果是在拆原书真正的火药桶,从“为了活命演角色,否,它最值钱的不是某个CP，而是目标错位这把刀,,2026-07-18T14:26:46+08:00
p2_w03_deep10.md,ST-002,p2_w03,穿成男主白月光[快穿],盛夏的小扇,晋江文学城,官页文案把这类文的核心全说出来了——成为男主落难期白月光、迅速分手、促成他爱上原女主，结果男主们飞黄腾达后集体黑化；再加上作者后续在同一作者专栏里连续写出《穿成男二白月光[快穿]》《龙傲天男主的白月光[快穿]》等同核作品，说明这套零件被验证过可重复生产,,survey_not_ledger,deep_research,non_authoritative,未知,高概念文案先给出任务协议，再用反噬一刀把协议砍歪,进入世界→精准投喂→情感升温→突然退出→男主不按剧本黑化追索,快穿、白月光滤镜、任务反噬、修罗场、单元变体,你会不停看见“本来该撤退的完美工具人,从执行目标的人变成被目标追着跑的人,否,这本最强的就是能把单元文写成机制文,,2026-07-18T14:26:46+08:00
p2_w03_deep10.md,ST-002,p2_w03,洗铅华,七月荔,知乎盐言故事体系，公开资料显示 2019 年开始在知乎以回答形式连载，后正式付费上线,它被媒体直接放进“知乎三绝”之一，并明确概括为“穿越成恶毒女配，逆袭收获真爱”的知乎头部 IP；这类**恶毒女配视角的自救宫廷文**后来非常容易被当模板用,,survey_not_ledger,deep_research,non_authoritative,未知,穿进自己明知会死的位置，先保命再谈别的,认命运→改官配→偏航→多方情感缠绕→代价兑现,恶毒女配自救、宫廷情感局、先知视角、站错CP、短平快冲突,你越想按原书修正，越会把自己重新拖进更复杂的关系网,从“我要活,否,它和传统长篇网文不同，更像高浓度情节发动机,,2026-07-18T14:26:46+08:00
p2_w03_deep10.md,ST-002,p2_w03,欢迎来到噩梦游戏,薄暮冰轮,晋江文学城,官方页直接把它放在“无限流/恐怖游戏”框里，而公开书评高频强调它不是纯恋爱文，是剧情为主、多个副本、真死、不能下线的无限流；在 BL 无限流里，这类“副本求生＋主线大世界”组合很容易被当标尺,,survey_not_ledger,deep_research,non_authoritative,未知,打出BE结局后黑屏，车祸醒来进空医院，恐怖游戏从现实事故缝里开始,新手村求生→进入正式副本→结识关键同伴→副本积累→世界主线抬高,真死求生、单元副本、剧情流、慢热关系、主线谜团,你以为只是在解一个个副本，其实是在逼近更大的世界真相,从普通玩家升到能真正参与世界意志级对抗的人,否,它的稳，不在单个副本，而在副本和主线之间有齿轮咬合,,2026-07-18T14:26:46+08:00
p2_w04_deep10.md,ST-002,p2_w04,超神机械师,齐佩甲,起点中文网,不是简单“游戏穿书”，而是把“玩家降临异界”的第四天灾写法拆成了两条卖点路线，尤其把“NPC 反向运营玩家”做成了强识别度原型；作者本人后来专门公开解释“第四天灾文”是什么，和作品内的玩法刚好互证。,,survey_not_ledger,deep_research,non_authoritative,未知,骨灰代练穿进公测前游戏世界，还成了原本要被玩家围观的 NPC,逃命起家→借玩家发育→职业树纵深展开→势力盘升级为文明盘,反向运营玩家／成长职业树／宏观势力推盘／吐槽反差,读者承诺不是单纯无敌，而是“看主角怎么把系统、玩家、势力三头一起薅,每次新阶段都要同时兑现新职业性能和新势力话语权,未知,它的快感核心不在一次性奇观，而在“每升一级都新增可调用对象”，所以很适合做长线工业化扩容,,2026-07-18T15:44:24+08:00
p2_w04_deep10.md,ST-002,p2_w04,神医嫡女,杨十六,公开材料可核到原连载起于逸云书院，后有多平台分发与实体出版,它不是“最早神医文”，但很像把“神医＋嫡女＋穿越＋宅斗＋空间/药房＋宫斗”拼装成成熟商品包的一部代表作，后来平台上大量同模版标题和简介都在沿这条路走。,,survey_not_ledger,deep_research,non_authoritative,未知,现代双料医官穿成受虐嫡女，开局就要在高压家门里止损反杀,后宅立威→医术出圈→宫斗联动→更大政治局,职业开挂／后宅反制／高门逆袭／情感互宠,看女主怎么把“会医,每逢等级跃迁，都要用一次更大的救治或更高层的反杀作兑现,未知,这类书真正管用的不是“神医”两个字，而是医术把剧情从宅门顶到朝堂的转场能力,,2026-07-18T15:44:24+08:00
p2_w04_deep10.md,ST-002,p2_w04,梦回大清,金子,晋江原创网首发连载，后由朝华出版社出版,公开媒体和读者长期把它视作“清穿鼻祖”或“清穿题材开山作”，更重要的是它把“故宫—清宫—阿哥恋爱线—历史人物认知钩”这套入口通俗化了。,,survey_not_ledger,deep_research,non_authoritative,未知,现代女孩故宫迷路后，直接坠进清宫内院与阿哥体系,陌生求生→情感卷入→宫廷危险升级→历史宿命回压,历史人物认知钩／多男主张力／现代视角错位／宿命感,读者要的不是硬核历史，而是“我熟悉的清宫人物会不会爱上现代我,感情越深，历史既定性越重，兑现靠情感与历史的互伤,未知,它最值钱的是一个极省认知成本的入口：地标熟、人物熟、风险熟，所以开局几章就能把读者拖进去,,2026-07-18T15:44:24+08:00
p2_w04_deep10.md,ST-002,p2_w04,极品家丁,禹岩,起点中文网,公开报道直接把它放在“历史穿越代表作”位置上，甚至有“家丁之前，极品不在；家丁之后，再无极品”的宣传语；它把“现代男主穿低位身份进高门，再一路打通商场、官场、战场、情场”的路线做得特别顺。,,survey_not_ledger,deep_research,non_authoritative,未知,销售经理穿进异时空，先做萧家大宅里的家丁,宅门立足→商业立功→高门扩权→国家级风波,低位逆袭／现代知识降维／多场景扩张／多女主关系网,读者要看一个草根入口怎么不停换桌子坐,每开一张新桌，都得让主角拿出一套新手段证明自己有资格坐下,未知,它厉害的地方不是“家丁”两个字，而是把低位入口做成了高频转场器,,2026-07-18T15:44:24+08:00
p2_w04_deep10.md,ST-002,p2_w04,杜拉拉升职记,李可,图书出版，非典型网文首发,公开报道和学界评论都把它放在职场小说热的关键位置，且“杜拉拉”已经被当成白领奋斗的文化符号。,,survey_not_ledger,deep_research,non_authoritative,未知,普通白领进入外企体系，先学规则，再做项目，再争位置,职场小白→流程熟手→项目负责人→中层管理者,现实上升通道／规则学习快感／项目闯关／微观职场心理,不卖大开大合，卖“你也许真的能用上,项目成功和头衔上升要同步发生，不然成就感会空,未知,它是把升级文的台阶，换成了外企项目和组织流程,,2026-07-18T15:44:24+08:00
p2_w04_deep10.md,ST-002,p2_w04,我有一座冒险屋,我会修空调,起点中文网,它把“濒临倒闭的恐怖屋经营”接上“黑色手机任务”和“都市怪谈副本”，相当于把经营文、惊悚文、闯关文焊在一个入口上；它上架表现和后续实体、有声、海外传播都很强。,,survey_not_ledger,deep_research,non_authoritative,未知,继承快倒闭的恐怖屋，还拿到一部会指派危险任务的黑色手机,小场景试单→城市怪谈扩图→主线身世回收→大规模惊悚生态成形,经营升级／怪谈闯关／谜案追索／恐怖反差温情,既要吓到你，也要让你看到场景背后的人情债,每个大副本既解锁新恐怖资源，也推进家族主线,未知,这本的高效之处，在于把“来生意”和“来任务”做成了同一件事,,2026-07-18T15:44:24+08:00
p2_w04_deep10.md,ST-002,p2_w04,总裁在上我在下,姜小牙,趣阅小说网／掌阅体系公开报道可核,它把“偏执霸总＋年轻漫画家＋误认孩子／囚爱＋高点击 IP 转化”这套现代言情商品包做得非常纯，也因此常被并入霸总启蒙样本。,,survey_not_ledger,deep_research,non_authoritative,未知,三流漫画家被偏执总裁因旧案误会强行卷入私域生活,高压接触→秘密反复翻面→情感拉扯加重→身份与创伤回收,强控制关系／秘密追索／阶层反差／甜虐切换,卖点是“他这么疯，为什么偏偏只对她失控,每轮情感升级都要伴随旧秘密的新解释,未知,这类书的驱动不是总裁身份本身，而是“权力失衡＋秘密误认”共同绑人,,2026-07-18T15:44:24+08:00
p2_w04_deep10.md,ST-002,p2_w04,异常生物见闻录,远瞳,起点中文网,公开媒体和评论都把它当成远瞳“硬科幻＋轻小说／吐槽风”路线的代表作之一，它把“普通房东＋一屋子异常房客＋宇宙审查官劳动合同”做成了很强的世界接缝。,,survey_not_ledger,deep_research,non_authoritative,未知,只想平安过日子的小房东，突然收进一屋子不正常房客，还签下一份来自神明的劳务合同,同居日常建连结→个体异常背后挖文明史→宇宙级问题上桌,合租收容／吐槽日常／文明考古／轻重反差,先让你把这群人当邻居，再让你发现他们背后是一整片宇宙,每个房客都不只回收个人线，还要回收到更大的文明线,未知,它的杀伤力在“低门槛生活戏通往高门槛宇宙戏”的坡度设计,,2026-07-18T15:44:24+08:00
p2_w04_deep10.md,ST-002,p2_w04,庶女攻略,吱吱,起点女生网,公开媒体直接把它称为“庶女宅门小说的先驱者”“古言天后代表作”，评论里频繁把它放在“宅斗／种田文鼻祖级”位置；它还被认为开启了一代“种田文”风。,,survey_not_ledger,deep_research,non_authoritative,未知,现代单身律师穿到明朝高门，先做不被看见的庶女，再被推入更难的继室位置,家门低位求生→婚配换桌→高门持家→更大的家族与家国责任,礼法博弈／细水长流成长／家务资源化／高门求生,不是爽翻天，而是看女主怎么在规则最密处慢慢长出空间,每次位置上移都要体现在别人对她的规矩和态度发生变化,未知,它把“升级”埋在日常礼法里，所以读起来不炸，但很耐用,,2026-07-18T15:44:24+08:00
p2_w04_deep10.md,ST-002,p2_w04,小兵传奇,玄雨,起点中文网,学术文章、行业报告和平台资料都把它放在网络科幻早期里程碑位置，常被称作网络科幻开山作、星际机甲流开创者之一，还在起点商业化早期起过关键流量作用。,,survey_not_ledger,deep_research,non_authoritative,未知,野心很直白的少年，从一个最底层士兵往上冲,个人军旅升级→掌军升级→舰队升级→文明级战争升级,军旅上升通道／星际战争奇观／机甲与舰队联动／草根元帅梦,读者追的是“能不能真从最底层一路坐到兵权顶端,每次升级都必须给新兵权、新战场和新敌手,未知,它厉害的地方，是把宏大星际战争拆成非常好懂的台阶,,2026-07-18T15:44:24+08:00
p2_w05_deep10.md,ST-002,p2_w05,唐砖,孑与2,起点中文网，微信读书可见正版目录页,轻松历史／点子兑现种田｜公开作者资料直接把《唐砖》说成以“轻松、幽默”给历史小说带来突破，媒体讨论改编时又常把它称作“唐穿第一书”；,,survey_not_ledger,deep_research,non_authoritative,是,从现代人突然跌进熟人朝代开场，认知钩是“我知道这是谁的时代，但我不甘心只做旁观者”,先立足，再靠连续点子兑现换信用，再进入更大的家国局面,轻喜感、历史熟脸再遇、点子落地、盛世补憾、人物抬升,看主角怎样把众所周知的大唐，改造成作者心里那个更能住人的大唐,每一轮点子兑现都不是单独爽点，而是身份、关系、时代观感一起上升,未知,公开简介和作者页都把“轻松幽默”“改写大唐”放在前台，说明它的核心不是朝堂阴谋密度，而是穿越知识如何不断变成可见收益,,2026-07-18T16:43:34+08:00
p2_w05_deep10.md,ST-002,p2_w05,临高启明,吹牛者,起点中文网，微信读书可见正版目录页,集体穿越＋制度工业基建｜光明网直接把它归到“工业系群体穿越”，相关座谈与书圈讨论又把它称作“历史穿越说明书”；,,survey_not_ledger,deep_research,non_authoritative,是,认知钩不是“我穿了怎么办”，而是“我们带着什么方案去穿”,会议定问题，落地试运行，出现资源/人力/秩序反噬，再回到制度修正,群像协作、工业细节、制度博弈、旧秩序改造、长链建设,看一群现代人如何把现代组织能力而不只是现代知识，搬进古代,每一轮升级的真正回报不是新机器本身，而是“这个组织终于能自己运转,未知,目录页前期大量会议章节太有辨识度，已经说明这书把“制度讨论”当正文，不当背景设定,,2026-07-18T16:43:34+08:00
p2_w05_deep10.md,ST-002,p2_w05,修真聊天群,圣骑士的传说,起点中文网，微信读书可见正版目录页,诸天聊天群日常爆梗｜公开书页把“误入群聊、群友全是道友”的机制写得非常前台，书圈讨论又直接说它带起过聊天群风潮；,,survey_not_ledger,deep_research,non_authoritative,是,普通人被误拉进不可信的群，认知钩是“这帮人到底是在玩梗，还是我真的误入了另一个世界”,线上玩笑—线下验证—小修真事件—更大群内事件，一路滚大,误会爆笑、社交身份梗、都市修真反差、群像接力、道具兑现,看一个正常人怎样一步步发现，中二群其实比现实还真,每次“以为是玩笑,未知,简介和章节入口都把“误入群”写死了，这种开局一眼就说明它卖的是“社交入口＋修真落地”的复合快感,,2026-07-18T16:43:34+08:00
p2_w05_deep10.md,ST-002,p2_w05,后宫·甄嬛传,流潋紫,网络连载后出版，公开页未见一致首发站,宫斗位分／阵营晋升｜作者因该书走红网络并获腾讯杯原创文学大赛一等奖，后续改编剧成现象级，公开书页又把“后宫争斗”与完整制度摆得非常前；,,survey_not_ledger,deep_research,non_authoritative,是,从少女准备入宫或刚入宫的视角切入，认知钩是“看似礼法森严、实则步步吃人的高门体系”,被动入局—试探站位—短暂得宠—反噬落难—再度上升，晋升不是直线,位分抬升、阵营换边、礼法压迫、情感幻灭、反杀回收,看一个初入宫的普通女主，如何在位分制度和阵营压力里学会生存并夺回主动,每一次称谓变化、宫室变化、封号变化，都会带来具体权力变化,未知,公开制度表已经把这类文本最重要的“秩序壳”亮出来了，所以它真正可借的不是某一招害人技巧，而是制度如何持续制造紧张,,2026-07-18T16:43:34+08:00
p2_w05_deep10.md,ST-002,p2_w05,大唐双龙传,黄易,实体连载/出版，现可见微信读书电子版,港台武侠源头／双男主天下局｜微信读书页把它称作黄易代表作之一，中国作家网又直接谈到黄易对网络文学、玄幻文法的强影响；相关研究还特别指出它带出的互文、仿写和次生创作效应；,,survey_not_ledger,deep_research,non_authoritative,是,从乱世底层小混混偷得大机缘起步，认知钩是“两个最不该入场的人，偏偏拿到了入场券”,逃命求生—奇遇练成—结交高手—卷入群雄—天下与心性双线收束,双男主对照、乱世大盘、奇遇升级、江湖名场面、天下局,看两个街头少年如何把偶然机缘一路做成影响天下的本钱,人物关系和历史大局会不断交叉回收，单次胜负很少是终局,未知,公开简介已经把“两小混混—一代宗师—改变历史走向”说得很清楚，这就是它最核心的叙事发动机,,2026-07-18T16:43:34+08:00
p2_w05_deep10.md,ST-002,p2_w05,第一序列,会说话的肘子,起点中文网，微信读书可见正版目录页,废土壁垒＋组织势力上升｜起点与微信读书书页都把“废土之上、壁垒拔地而起”写得很前，中国作家网完结报道也把它当作者在《大王饶命》之后的重要代表作来谈；,,survey_not_ledger,deep_research,non_authoritative,是,从“脑子有病”的少年和墙内外生存现实切入，认知钩是“这个世界表面还活着，其实秩序已经断裂”,底层求生—资源攒取—能力显露—卷入组织—进入更大壁垒局,废土压迫感、小人物机灵求生、壁垒设定、组织升级、情义提纯,看一个不被看好的底层少年，如何在墙内外夹层里长成新的秩序变量,所有早期求生技都不会白给，后面都会转成组织价值或战略价值,未知,目录页前几章把“脑子有病”“墙与科学”“卖药”放在一起，已经说明它先卖的是底层生存张力，再慢慢开大盘,,2026-07-18T16:43:34+08:00
p2_w05_deep10.md,ST-002,p2_w05,圣墟,辰东,起点中文网，微信读书可见正版目录页,灵气复苏＋进化地图｜书页本身就把“枷锁被打开、全新世界揭开一角”写得很清楚，南都和封面新闻又直接把它称作灵气复苏流的开山或代表之一；,,survey_not_ledger,deep_research,non_authoritative,是,从沙漠异象彼岸花开场，认知钩是“现实还叫现实，但现实已经开始变种”,异象发现—局部进化—神山/禁地探索—更大地图扩开,灵气复苏、异变奇观、进化爆发、地图连续抬高、宇宙级扩盘,看现代世界怎样在一次次异变里重新变成可修炼、可争霸的世界,每次环境变化都不是背景板，而会把人物层级和版图一起抬高,未知,章名从“彼岸花”“后文明时代”“青铜昆仑”“神秘呼吸法”一路排开，已经足够说明它的驱动是“异变—发现—进化—扩图”,,2026-07-18T16:43:34+08:00
