trial_id,source_title,source_part_name,target_title,borrow_types,borrow_success_note,borrow_dirty_note,demo_usage,arch_slot_candidate,mountability,trial_mode,ledger_kind,origin,authority,window_id,ingested_at
p2_w04_04,异常生物见闻录,,,,,,作者若借这块，建议借“合租／收留／同行小队”作为世界观投喂器，不要直接借远瞳的希灵味台词。让每个室友或同行都各自带一片世界，但必须先在日常里可相处。然后再用一种制度性差事，把小日常拉到大设定上。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w04,2026-07-18T15:44:24+08:00
p2_w04_05,小兵传奇,,,,,,如果作者要借《小兵传奇》，我建议借“成长阶梯和战争规模同步放大”这条，不借唐龙式具体人设。把兵种、时代、科技树都换掉都没关系，但必须保证主角每上一阶，看到的世界真的更大、负责的人真的更多、决策代价真的更重。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w04,2026-07-18T15:44:24+08:00
p2_w05_01,唐砖,,,,,,见后文“纸面示范条清单”对应《唐砖》项，,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w05,2026-07-18T16:43:34+08:00
p2_w05_02,学霸的黑科技系统,,,,,,见后文对应《学霸的黑科技系统》项，,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w05,2026-07-18T16:43:34+08:00
p2_w05_03,文化入侵异世界,,,,,,见后文对应《文化入侵异世界》项，,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w05,2026-07-18T16:43:34+08:00
p2_w06_01,输赢,,,,,,示范一：把《输赢》的“季度超级订单”节奏，挂到国产工业软件／医疗器械／军工采购题材上；再借《浮沉》的“体制灰度带”，让客户方不只是甲方，而是一个内部派系化组织。这样开局就有项目时限、组织冲突和专业门槛。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w06,2026-07-19T05:22:45+08:00
p2_w06_02,我的末世基地车,,,,,,示范二：把《我的末世基地车》的移动领地件，和《废土生存守则》的训练前置件拼起来；前半段写如何把载具改造成“会跑的避难所”，后半段写如何把模拟规则兑现到真实废土。这样末世经营就不必一上来就起城。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w06,2026-07-19T05:22:45+08:00
p2_w06_03,官居一品,,,,,,示范三：把《官居一品》的科举阶梯，套到未来社会的公职选拔／星际文官考试／科研岗位晋升上；再拿《间客》的“具体事件先行、宏大大局后钉住”做推进。这种搭法很适合写“制度里的人怎么上去”。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w06,2026-07-19T05:22:45+08:00
p2_w06_04,全球进化,,,,,,示范四：把《全球进化》的生态位翻盘，当成灾变底座；再借《黑暗血时代》的环境压迫，把危机从“怪物打不过”改成“基础生存条件不允许”。这种写法会比普通丧尸／天灾更有底层恐怖。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w06,2026-07-19T05:22:45+08:00
p2_w06_05,希灵帝国,,,,,,示范五：把《希灵帝国》的“先日常后宇宙”入口，给一部超大世界观科幻当导流层；前期只让读者认识角色关系和组织气质，中段再一点点露出宇宙秩序。这样能明显降低大设定进场成本。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w06,2026-07-19T05:22:45+08:00
p2_w06_06,圈子圈套,,,,,,示范六：如果要写现代商战，不要只学《圈子圈套》的狠话和背刺；更该借的是“项目决定组织位置”的逻辑，再用《输赢》的流程感把每个阶段目标钉下来。这样才不是空洞商战皮。,,纸面only,paper_only,survey_not_ledger,deep_research,non_authoritative,p2_w06,2026-07-19T05:22:45+08:00
