source_report,track,list_section,title,author,one_liner,platform,a_heat,b_prototype,skeleton_fingerprint,evidence,ingested_at
p1_batch01_hotlist.md,ST-002,candidate,步步惊心,桐华,常被借的是“熟史读者视角进入九龙夺嫡、感情线裹住历史必然性”的清穿叙事。,晋江／出版,高,高,熟史清穿＋夺嫡情感线,中国作家网称其为“清穿扛鼎之作”；维基和晋江系材料可核对作者与连载背景。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,后宫·甄嬛传,流潋紫,后人最常借的是“等级森严后宫位分表＋晋升/失宠节奏＋阵营宫斗”。,晋江／出版,高,高,宫斗位分表＋阵营晋升,中国作家网把它称作宫斗经典；公开资料可核对其最初在晋江连载。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,庶女攻略,吱吱,常被借的是“庶女身份天生受限＋深宅家族关系网＋婚嫁/生存/宅斗并行”的古言骨架。,起点女生,高,高,庶女宅斗＋婚嫁生存线,起点书页；文汇评论明确说它带起一阵“庶女”宅斗风潮。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,知否？知否？应是绿肥红瘦,关心则乱,后人常借的是“宅斗里混入种田/日常/婚后经营”，把古言从单纯斗争改成长期经营。,晋江,高,高,宅斗种田＋婚后经营,中国作家网把它点为典型“宅斗＋种田文”；晋江原书页。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,花千骨,Fresh果果,最常被借的是“师徒虐恋＋世界浩劫捆绑恋爱”的女频仙侠世界系。,晋江,高,高,师徒虐恋＋苍生浩劫绑定,中国作家网直接把它当师徒虐恋代表；晋江原书页与同人检索都很强。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,人渣反派自救系统,墨香铜臭,后人最常借的是“穿进原书当反派/炮灰自救＋系统吐槽视角”，尤其适合做穿书解释成本。,晋江,高,高,穿书反派自救＋系统吐槽,晋江原书页；站内同人/续写极多。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,全球高考,木苏里,后人最常借的是“考试即副本、规则每月改、双强智斗”的纯爱无限流模板。,晋江,高,高,考试副本＋双强智斗,晋江原书页；站内同人直接可见。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,死亡万花筒,西子绪,常被借的是“门世界＋过门规则＋一章一个恐怖母题”的纯爱规则门流。,晋江,高,高,门世界＋过门规则,晋江原书页；中国作家网把2018年后这类作品视作无限流变体的关键节点。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,黑莲花攻略手册,白羽摘雕弓,后人最常借的是“穿书任务系统＋病娇黑莲花男主＋救赎反攻略”的女频标准件。,晋江,高,高,穿书任务＋病娇黑莲花,晋江原书页；站内同人/改编与海外传播都很强。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,我有一座冒险屋,我会修空调,常被借的是“鬼屋经营＋手机任务链＋单元怪谈副本”的悬疑经营流。,起点,高,高,鬼屋经营＋手机任务副本,起点书页；同人检索与跨书联动词条都很明显。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,神秘复苏,佛前献花,后人最常借的是“厉鬼有杀人规律＋驾驭厉鬼要付代价＋总部/民国旧事大谜团”。,起点,高,高,鬼规律＋驾驭代价＋总部线,起点书页；站内同人和评论把它视作近年规则灵异硬骨架。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,大王饶命,会说话的肘子,最常被借的是“负面情绪值系统”这台爽点发动机，而不是普通签到/升级。,起点,高,高,负面情绪值系统,起点书页；评论直接把它说成颠覆传统系统文奖励机制。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,鬼吹灯,天下霸唱,后人最常借的是“民俗志怪盗墓＋规则禁忌＋队伍探穴”的盗墓流底板。,其他,高,高,民俗盗墓＋禁忌规则队,学术论文明确说它引出“盜墓文学”与同类作品潮；媒体长期称其盗墓流鼻祖。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,小兵传奇,玄雨,常被借的是“从小兵到统帅、星际机甲与战争组织并进”的热血军团升级法。,起点,高,高,小兵起家＋机甲军团升级,起点书页；多篇盘点把它点作星际机甲流/网络科幻早期开山。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,猛龙过江,骷髅精灵,最常被借的是“虚拟网游＋公会争霸＋现实/游戏双线爽感”的早期网游文模板。,起点,高,高,虚拟网游＋公会争霸双线,起点书页；网游发展史与流派盘点都把它放在早期网游流核心位置。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,十日终焉,杀虫队队员,常被借的是“规则怪谈＋无限流＋群像智斗”三者捏成一体的近年番茄骨架。,番茄,高,中,规则怪谈＋群像闯关,番茄书页；媒体把它列为“规则怪谈＋无限流”代表。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,遮天,辰东,后人常借的是“大帝/圣体/禁区/圣地世家”的宇宙感地图与位格体系。,起点,高,中,大帝位格＋禁区圣地图,起点官方及同人检索；社区盘点常把它点作“大帝流”母本。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,完美世界,辰东,更常被借的是“天才幼崽起手＋大世界逐层揭幕＋血脉古族大战”，但直接模板化程度略低于《遮天》。,起点,高,中,幼崽开局＋古族位面升级,起点书页；与《遮天》存在大量前传/同宇宙消费。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,圣墟,辰东,常被借的是“灵气复苏的大地异变＋名山古迹复苏＋进化层级”，更像后期灵气复苏的资源库。,起点,高,中,灵气复苏＋进化地图,起点书页；同世界衍生与社区盘点常并提其“灵气复苏/进化流”。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,吞噬星空,我吃西红柿,后来者常借的是“地球危机起步—宇宙扩图—血统/天赋/星空公司”的线性宇宙升级。,起点,高,中,地球起步＋星空宇宙升级,起点书页；大量同宇宙/同题材衍生。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,阳神,梦入神机,最常被借的是“人仙/鬼仙的双轴成长、诸子百家与香火神道混搭”的高概念力量体系。,纵横／其他候选,高,中,人仙鬼仙双轴＋诸子神道,纵横作者简介可核对作品；社区型流派盘点直接出现“阳神流”。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,一世之尊,爱潜水的乌贼,常被借的是“轮回任务链＋多神话体系并服＋彼岸位格”的高维世界串联法。,起点,高,中,轮回任务链＋神话并服,起点书页；站内同人检索能看到直接沿用“将夜/神墓/遮天式”世界拼接法。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,奥术神座,爱潜水的乌贼,后人常借的是“科学方法论进法术体系、西幻议会制升级”的解释骨架。,起点,中,中,科学修法＋议会西幻升级,起点官方书页；作者访谈与社区讨论长期把它当“理工西幻/奥术流”代表。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,史上第一祖师爷,八月飞鹰,最常被借的是“系统建宗门＋收徒养成＋宗门扩张”的组织型爽文结构。,起点,高,中,系统建宗门＋收徒扩张,起点书页；后续大量“宗门系统/收徒返还”讨论可回勘。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,第一序列,会说话的肘子,常被借的是“废土壁垒社会＋组织势力卡位＋主角在灾后秩序中上升”的大框。,起点,高,中,废土壁垒＋组织势力上升,起点书页；同人检索可见“任小粟世界观”续写感很强。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,全球高武,老鹰吃小鸡,后人常借的是“现代都市高武＋学府—地窟双地图＋数值化血气升级”。,起点,高,中,现代高武＋学府地窟双图,起点书页；同人检索大量直接吃“方平/地窟”解释成本。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,万族之劫,老鹰吃小鸡,常被借的是“诸天战场＋榜单考核＋诸族/学府/人境多重阵营”。,起点,高,中,万族战场＋学府榜单体系,起点书页；同人检索可见直接吃“万族/苏宇/文王系”设定。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,从红月开始,黑山老鬼,后人更常借的是“精神污染分级＋特殊污染源＋城市收容机构”这套都市诡异底盘。,起点,高,中,精神污染＋收容机构体制,起点书页；中国作家网谈克苏鲁化网悬时把它列为后继作品。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,道诡异仙,狐尾的笔,最常被借的是“中式克系＋真假难辨主观视角＋扭曲仙佛”，更像一种氛围母体。,起点,高,中,中式克系＋真假难辨视角,起点书页；中国作家网把它列入《诡秘之主》后的克系悬疑后继。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,惊悚乐园,三天两觉,后人常借的是“剧本副本＋吐槽型高智商主角＋玩梗数据库”这套副本写法。,起点,高,中,剧本副本＋吐槽智斗,中国作家网强调它用无限流文本类型支撑“玩梗”叙事；站内同人可核对。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,轮回乐园,那一只蚊子,它更像是把乐园流做成了集大成版本，后人爱借“契约者、衍生世界、天赋/烙印”这套。,起点,高,中,契约者＋衍生世界乐园流,中国作家网称其为近年来最受欢迎的无限流集大成作；中国作家网新闻可核对作品信息。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,炮灰攻略,莞尔wr,女频后来者最常借的是“炮灰/女配任务世界＋改命＋打脸爽点”的快穿工作流。,起点女生,中,中,炮灰快穿＋任务改命,起点书页；知乎/社区常把它视作早期鼻祖型快穿文。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,快穿之打脸狂魔,风流书呆,纯爱快穿后来者最爱借的是“系统在、爽点密、每个世界都围绕打脸/逆转展开”的节奏。,晋江,高,中,系统快穿＋高密度打脸,晋江原书页；北大网文论坛评论可核对其在快穿文中的地位。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,黎明之剑,远瞳,常被借的是“西幻领地改造＋科技/魔法耦合＋文明史叙事”的种田升级版。,起点,高,中,魔法种田升级为文明重建,中国作家网明确称其是“如何魔法种田”的进一步发展；研讨会报道亦有同样判断。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,回到明朝当王爷,月关,后人常借的是“历史穿越＋权谋官场＋后宫/家国双线并跑”的古早历史爽文框架。,起点,高,中,历史穿越＋官场家国双线,起点书页；弱证据：长期被作为历史穿越代表作反复提及。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,官居一品,三戒大师,更常被借的是“科举起步—官场升级—制度缝隙求生”的历史技术流。,起点,高,中,科举官场＋制度技术流,起点书页；弱证据：历史官场推荐系稳定高频出现。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,地狱公寓,黑色火种,常被借的是“受困场域＋任务逼近＋找生路而不是硬打”的规则怪谈思路。,起点,中,中,封闭场域＋生路规则,起点书页；作者后续《恶魔公寓》被视作延续。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,寻秦记,黄易,最常被借的是“现代人带已知历史知识进入古代权力/情感网络”的穿越祖型。,其他,高,中,现代人入古代权力局,主流媒体仍直接称其“穿越IP鼻祖”；弱证据但共识很稳。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,重生传说,周行文,后来者借得最狠的是“回到少年时代重开人生”这个几乎不用解释的都市重生开局。,起点,中,中,都市重生＋人生重开,起点书页；起点问答/社区反复把它叫作重生流鼻祖。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,从零开始,雷云风暴,常被借的是“超长篇虚拟网游＋游戏经济/公会/现实映射”这一整套重运营写法。,起点,高,中,超长篇网游运营流,起点书页；网游史文章把它列为早期重要分支。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,永生,梦入神机,后人更常借的是“肉身—神通—长生—成仙”这种高度可抄表的境界梯子。,纵横,高,中,肉身神通五境表,纵横主页书目信息直接给出核心境界；作者访谈点名其重要地位。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,紫川,老猪,常被借的是“多势力军政博弈＋热血青年群像＋帝国史诗”的旧派大长篇结构。,起点,高,中,军政群像＋帝国史诗,起点书页；被反复列入“网络四大名著”。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,长生不死,观棋,后人常借的是“运朝/气运/风水/功名”一体化的帝朝争霸修仙。,起点,高,中,运朝气运＋王朝修仙,起点书页直接给出“气运—风水—功名”式骨架；社区型流派盘点视其为运朝流源头。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,明朝败家子,上山打老虎额,更常被借的是“历史文里放强节奏日常经营和点子兑现”的轻快爽文法。,起点,高,中,历史日常经营＋点子兑现,起点书页；弱证据：历史轻爽文推荐系高频母本。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,我在惊悚游戏里封神,壶鱼辣椒,后来者常借的是“直播副本＋公会积分＋邪门美学反派魅力”的纯爱惊悚游戏框。,晋江,高,中,直播副本＋公会积分,晋江原书页；改编宣传与平台介绍均把它定位成人气无限流。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,晚明,柯山梦,常被借的是“军事工业、财政、殖民扩张、双主角分工”的晚明技术流历史写法。,起点,中,中,晚明技术流＋双主角经营,起点书页；弱证据：历史技术流讨论高频母本。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,清穿日常,多木木多,后来者常借的是“清穿但不走大阴谋，转向日常吃穿、后宅与皇子府经营”的轻运营写法。,晋江,高,中,清穿日常＋后宅经营,晋江原书页；中国作家网谈种田/清穿时把它列入代表作。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,盗墓笔记,南派三叔,它更像是在《鬼吹灯》之后把“人物关系、长期悬念、系列续作宇宙化”做大，后来者更爱借这部分。,其他,高,中,盗墓悬念宇宙＋铁三角关系,研究文章与系列化资料都指向其强宇宙延展，但“原型度”我给中，不给高。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,大奉打更人,卖报小郎君,它很常被借的是“朝堂探案＋修行体系＋爽点密度”的拼装能力，但更像成熟缝合高手，不像源头。,起点,高,中,朝堂探案＋修行缝合流,中国作家网把它点成元素融合爆款；起点书页可核对作品信息。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,candidate,诡舍,夜来风雨声丶,常被借的是“血门/大巴/被迫轮次入门”的番茄式无限惊悚壳，但我还不愿把它抬到强原型。,番茄,高,中,血门轮次＋无限惊悚求生,番茄书页；媒体把它与《十日终焉》并列为近年规则怪谈＋无限流代表。,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,hot_only,庆余年,猫腻,更像“顶级完成度、顶级人物与权谋观感”的爆款，不太像可被大规模复刻的骨架机。｜平台：起点｜A热度：高｜B可借用原型度：低｜骨架指纹：现代意识入古代权谋｜证据线索：起点书页；社区长期把它当历史网文高峰，但非明显模板母体。,,,仅爆款不入原型,,,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,hot_only,雪中悍刀行,烽火戏诸侯,最常被模仿的是“金句感、人物腔、江湖庙堂并置”，可真正能借走的稳定骨架反而没那么强。｜平台：起点｜A热度：高｜B可借用原型度：低｜骨架指纹：江湖庙堂群像美学｜证据线索：起点书页；同人存在，但更多借风味不借骨架。,,,仅爆款不入原型,,,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,hot_only,琅琊榜,海宴,它更像“复仇权谋剧教科书”，但直接可复刻的网文升级骨架并不强。｜平台：起点／出版｜A热度：高｜B可借用原型度：低｜骨架指纹：病弱谋士复仇权谋｜证据线索：起点书页；中国作家网报道其早已红遍网络。,,,仅爆款不入原型,,,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,hot_only,将夜,猫腻,它被借走更多的是气质、世界观厚度和书院理念，不是那种一眼就能抄表复写的模板。｜平台：起点｜A热度：高｜B可借用原型度：低｜骨架指纹：书院修行＋永夜哲学｜证据线索：起点书页；同人存在，但模板化传播不如同代强原型。,,,仅爆款不入原型,,,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,hot_only,牧神记,宅猪,它更像“设定与反转惊艳”的名作，读者记住的是创意和语感，不是方便后来者搬运的硬骨架。｜平台：起点｜A热度：高｜B可借用原型度：低｜骨架指纹：大墟反转＋世界观掀盖｜证据线索：起点书页；同人有，但更多是名场面消费。,,,仅爆款不入原型,,,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,hot_only,魔道祖师,墨香铜臭,它很火，但后来者真正大量借走的更多是“世家修真＋旧案回溯”表层感，而不是一个稳定、可工业化再生产的模板。｜平台：晋江｜A热度：高｜B可借用原型度：低｜骨架指纹：世家修真＋旧案回溯｜证据线索：晋江原书页；影响极大，但模板借用更分散。,,,仅爆款不入原型,,,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,hot_only,天官赐福,墨香铜臭,强在人物关系和情绪价值，不强在被后来者大规模搬走的标准骨架。｜平台：晋江｜A热度：高｜B可借用原型度：低｜骨架指纹：神官体系＋前缘重逢｜证据线索：晋江原书页；续写很多，但结构借用证据一般。,,,仅爆款不入原型,,,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,hot_only,三生三世十里桃花,唐七公子,它是仙侠言情大爆款，但行业里更常借的是“前世今生仙恋”大母题，不一定直接认它为唯一模板。｜平台：晋江／出版｜A热度：高｜B可借用原型度：低｜骨架指纹：前世今生仙恋｜证据线索：晋江作者页/书页与公开资料可核对；长尾影响强，模板性我给低。,,,仅爆款不入原型,,,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,hot_only,我在精神病院学斩神,三九音域,常被借的是超猛开局钩子，但更多是“钩子爆、节奏猛”的爆款，不是特别稳定的母骨架。｜平台：番茄｜A热度：高｜B可借用原型度：低｜骨架指纹：精神病院钩子＋大夏神明｜证据线索：番茄书页；衍生存在，但更多吃IP名气。,,,仅爆款不入原型,,,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,hot_only,何以笙箫默,顾漫,它是都市言情的大爆款和情绪母题源，但更像“破镜重圆天花板”，不是便于工业化仿写的复杂骨架。｜平台：晋江｜A热度：高｜B可借用原型度：低｜骨架指纹：破镜重圆经典母题｜证据线索：晋江原书页；读者评论长期把它当情感范本。,,,仅爆款不入原型,,,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,hot_only,残次品,priest,强在世界观完成度和人物关系，不强在被后来者一眼拿走就能复写的模板化部件。｜平台：晋江｜A热度：高｜B可借用原型度：低｜骨架指纹：星际群像＋自由主义议题｜证据线索：晋江原书页；中国作家网文章更强调其科幻资源改造而非模板扩散。,,,仅爆款不入原型,,,2026-07-18T13:17:54+08:00
p1_batch01_hotlist.md,ST-002,hot_only,默读,priest,它是刑侦纯爱爆款，但后来者更难直接“借骨架”，多数只能借氛围和人物关系张力。｜平台：晋江｜A热度：高｜B可借用原型度：低｜骨架指纹：都市刑侦＋创伤回溯｜证据线索：晋江原书页；站内番外/评论很多，但模板外流迹象不强。,,,仅爆款不入原型,,,2026-07-18T13:17:54+08:00
p1_batch02_hotlist.md,ST-002,candidate,赘婿,愤怒的香蕉,开局情境/势力/叙事装置,起点,高,中,入赘低位起手＋经商入朝局,起点书页把它写得很清楚：男主是“入门女婿”位阶起手；而行业研报又显示，移动端男频热销榜里赘婿题材曾高度密集，但我没查到足够明确的“赘婿流=直接从本书拆骨”的公开盘点，所以 B 先压在中。 中,2026-07-18T14:03:06+08:00
p1_batch02_hotlist.md,ST-002,candidate,唐砖,孑与2,爽点机制/叙事口气/开局情境,起点,高,高,贞观日常＋点子兑现,官方书页确定它是现代人掉进贞观的轻松穿越；评论文章还直接点名《唐砖》用“轻松幽默”给历史小说写法带来“颠覆性突破”，这就不是单纯火，而是写法被后来人照着搬。 强,2026-07-18T14:03:06+08:00
p1_batch02_hotlist.md,ST-002,candidate,临高启明,吹牛者,世界观/势力/制度搭建,起点,中,中,集体穿越＋工业制度大会战,起点书页就把它定在“五百废柴在明末从零开始”的集体穿越工业线；它的核心可借处不是某个主角，而是“多人协作建制度”的工程型骨架，但公开仿作盘点我这轮没查到特别硬，所以 B 不上高。 中,2026-07-18T14:03:06+08:00
p1_batch02_hotlist.md,ST-002,candidate,极品家丁,禹岩,开局情境/爽点机制/后宅朝堂接口,起点,高,高,家丁低位＋才子撬后宅朝堂,起点书页给出的就是林三从家丁位阶进入大华权力与情感场；更关键的是，知乎上长期存在大量“类似《极品家丁》”的找书串，且不少回答反过来把《家丁》《唐砖》《回明》并列成历史爽文参照系，这就是被拿来当模板用的典型信号。 强,2026-07-18T14:03:06+08:00
p1_batch02_hotlist.md,ST-002,candidate,带着仓库到大明,迪巴拉爵士,开局外挂/种田经营/弟子势力,起点,高,中,仓库外挂＋明初经营投喂,起点和微信读书都把它的卖点写得很直白：带仓库穿明初、主角“只想种田”；这条线后来很容易被借成“现代物资外挂＋历史经营流”，但公开祖型盘点还不算很硬，所以 B 先给中。 中,2026-07-18T14:03:06+08:00
p1_batch02_hotlist.md,ST-002,candidate,绍宋,榴弹怕水,势力/叙事装置/家国重开局,起点,高,中,南宋残局＋皇帝视角重开,起点/阅读页都明确它是1127 年宋室残局、赵构位面重开；这本更像“南宋中兴重开局”写法坐标，影响感很强，但我没有查到成规模“绍宋式”仿作盘点，所以只给 B 中。 中,2026-07-18T14:03:06+08:00
p1_batch02_hotlist.md,ST-002,candidate,师士传说,方想,世界观/成长表/战斗体系,起点,中,高,垃圾星少年＋冷硬机甲训练,公开讨论里已经有人直接把《师士传说》叫作“机甲流的开山之作”，而“网文史必须提什么”的回答也把它点成 2006 年“硬核机甲”开山，这种说法已经够把 B 拉到高。 强,2026-07-18T14:03:06+08:00
p1_batch02_hotlist.md,ST-002,candidate,卡徒,方想,世界观/职业体系/生产装置,起点,中,高,制卡职业＋卡片社会分工,起点书页能核到作品本身；更关键的是，推荐文直接把《卡徒》称为“卡牌流网文经典鼻祖之一”，后面又列了一串同类书单，这就是很标准的“祖型—后续跟写”链。 强,2026-07-18T14:03:06+08:00
